总序号,类别,分组,组内序号,单词/短语,音标,同替词,中文释义,来源链接
41,2,1,21,imitate,/ˈɪmɪteɪt/,mimic；copy,v.模仿,https://www.guixue.com/apps/word/corpus/10176/21939/1
42,2,1,22,impair,/ɪmˈpeə(r)/,damage；diminish；decrease,v. 削弱，减少,https://www.guixue.com/apps/word/corpus/10176/21939/1
43,2,1,23,hinder,/ˈhɪndə(r)/,impede；prevent；deter；obstacle,v. 阻碍,https://www.guixue.com/apps/word/corpus/10176/21939/1
44,2,1,24,legitimate,/lɪˈdʒɪtɪmət/,legal,adj. 合法的,https://www.guixue.com/apps/word/corpus/10176/21939/1
45,2,1,25,limitation,/ˌlɪmɪˈteɪʃ(ə)n/,restriction,n.限制,https://www.guixue.com/apps/word/corpus/10176/21939/1
46,2,1,26,convention,/kənˈvenʃ(ə)n/,method；tradition,n.手法；习俗,https://www.guixue.com/apps/word/corpus/10176/21939/1
47,2,1,27,demanding,/dɪˈmɑːndɪŋ/,troublesome,adj.苛求的,https://www.guixue.com/apps/word/corpus/10176/21939/1
48,2,1,28,determine,/dɪˈtɜːmɪn/,decide,v.决定,https://www.guixue.com/apps/word/corpus/10176/21939/1
49,2,1,29,accelerate,/əkˈseləreɪt/,speed up,v.加速，促进；强调,https://www.guixue.com/apps/word/corpus/10176/21939/1
50,2,1,30,ancient,/ˈeɪnʃənt/,aged；old,adj.古代的；古老的,https://www.guixue.com/apps/word/corpus/10176/21939/1
51,2,1,31,beneficial,/ˌbenɪˈfɪʃ(ə)l/,helpful；advantageous；wholesome,adj.有益的,https://www.guixue.com/apps/word/corpus/10176/21939/1
52,2,1,32,chronic,/ˈkrɒnɪk/,lasting,adj. 慢性的，长期性的,https://www.guixue.com/apps/word/corpus/10176/21939/1
53,2,1,33,conscious,/ˈkɒnʃəs/,aware；knowing,adj.有意识的，神志清醒的,https://www.guixue.com/apps/word/corpus/10176/21939/1
54,2,1,34,minimize,/ˈmɪnɪmaɪz/,reduce；lessen,v. 最小化，使……减少到最少,https://www.guixue.com/apps/word/corpus/10176/21939/1
55,2,1,35,immunity,/ɪˈmjuːnəti/,resistance,n. 免疫力,https://www.guixue.com/apps/word/corpus/10176/21939/1
56,2,1,36,imperative,/ɪmˈperətɪv/,,adj. 必要的， 紧急的,https://www.guixue.com/apps/word/corpus/10176/21939/1
57,2,1,37,secrete,/sɪˈkriːt/,discharge；exude,v. 分泌,https://www.guixue.com/apps/word/corpus/10176/21939/1
58,2,1,38,exaggerate,/ɪɡˈzædʒəreɪt/,overstate,v.夸大，夸张,https://www.guixue.com/apps/word/corpus/10176/21939/1
59,2,1,39,transmit,/trænzˈmɪt/,pass；send；transfer,v.传达，传输,https://www.guixue.com/apps/word/corpus/10176/21939/1
60,2,1,40,extinct,/ɪkˈstɪŋkt/,die out；lost,v.灭绝,https://www.guixue.com/apps/word/corpus/10176/21939/1
61,2,1,41,exclusive,/ɪkˈskluːsɪv/,only,adj.独有的；排外 的；专一的,https://www.guixue.com/apps/word/corpus/10176/21939/1
62,2,1,42,guarantee,/ˌɡærənˈtiː/,assure,v.保证，担保,https://www.guixue.com/apps/word/corpus/10176/21939/1
63,2,1,43,inherit,/ɪnˈherɪt/,receive,v.继承,https://www.guixue.com/apps/word/corpus/10176/21939/1
64,2,1,44,witness,/ˈwɪtnəs/,view；see,n.见证，证据；目击者,https://www.guixue.com/apps/word/corpus/10176/21939/1
65,2,1,45,magnetic,/mæɡˈnetɪk/,attractive,adj.有磁性的,https://www.guixue.com/apps/word/corpus/10176/21939/1
66,2,1,46,loss,/lɒs/,waste；gone,n.减少；亏损；失败；遗失,https://www.guixue.com/apps/word/corpus/10176/21939/1
67,2,1,47,option,/ˈɒpʃ(ə)n/,choice,n.选择,https://www.guixue.com/apps/word/corpus/10176/21939/1
68,2,1,48,prefer to,,rather,更喜欢,https://www.guixue.com/apps/word/corpus/10176/21939/1
69,2,1,49,priority,/praɪˈɒrətɪ/,preference；preferential,n.优先权,https://www.guixue.com/apps/word/corpus/10176/21939/1
70,2,1,50,primary,/ˈpraɪməri/,principal；main,adj.主要的,https://www.guixue.com/apps/word/corpus/10176/21939/1
71,2,2,1,principle,/ˈprɪnsəp(ə)l/,rule,n.原理,https://www.guixue.com/apps/word/corpus/10176/21940/1
72,2,2,2,potential,/pəˈtenʃ(ə)l/,possibility,n. 潜能 adj.潜在的,https://www.guixue.com/apps/word/corpus/10176/21940/1
73,2,2,3,quantity,/ˈkwɒntətɪ/,number,n.量，数量,https://www.guixue.com/apps/word/corpus/10176/21940/1
74,2,2,4,settle,/ˈset(ə)l/,fix；figure out,v.解决；定居，稳定,https://www.guixue.com/apps/word/corpus/10176/21940/1
75,2,2,5,sophisticate,/səˈfɪstɪkət/,complicate,v. 使复杂,https://www.guixue.com/apps/word/corpus/10176/21940/1
76,2,2,6,specific,/spəˈsɪfɪk/,detailed；particular,adj. 明确的；特殊的,https://www.guixue.com/apps/word/corpus/10176/21940/1
77,2,2,7,survive,/səˈvaɪv/,remain,v.存活，幸存,https://www.guixue.com/apps/word/corpus/10176/21940/1
78,2,2,8,swift,/swɪft/,quick；rapid,adj.迅速的，敏捷的，立刻的,https://www.guixue.com/apps/word/corpus/10176/21940/1
79,2,2,9,unexpectedly,/ˌʌnɪkˈspektɪdli/,surprising,adv. 出乎意料地,https://www.guixue.com/apps/word/corpus/10176/21940/1
80,2,2,10,surrounding,/səˈraʊndɪŋ/,setting；environment,n.环境,https://www.guixue.com/apps/word/corpus/10176/21940/1
81,2,2,11,attempt,/əˈtempt/,try；test,n.试图， 尝试,https://www.guixue.com/apps/word/corpus/10176/21940/1
82,2,2,12,expertise,/ˌekspɜːˈtiːz/,knowledge；skill,n.专门技术,https://www.guixue.com/apps/word/corpus/10176/21940/1
83,2,2,13,faculty,/ˈfæk(ə)lti/,ability,n.能力，才能；全体教员,https://www.guixue.com/apps/word/corpus/10176/21940/1
84,2,2,14,donate,/dəʊˈneɪt/,contribute,v.捐赠,https://www.guixue.com/apps/word/corpus/10176/21940/1
85,2,2,15,dynamics,/daɪˈnæmɪks/,energy；force；move,n.动力学,https://www.guixue.com/apps/word/corpus/10176/21940/1
86,2,2,16,incentive,/ɪnˈsentɪv/,motive；stimulus,n.刺激，鼓励；动机,https://www.guixue.com/apps/word/corpus/10176/21940/1
87,2,2,17,mortality,/mɔːˈtæləti/,death,n.死亡率,https://www.guixue.com/apps/word/corpus/10176/21940/1
88,2,2,18,peripheral,/pəˈrɪfərəl/,unimportant；minor,adj. 外围的，次要的,https://www.guixue.com/apps/word/corpus/10176/21940/1
89,2,2,19,vicinity,/vəˈsɪnəti/,neighbourhood；nearby,n. 邻近，附近,https://www.guixue.com/apps/word/corpus/10176/21940/1
90,2,2,20,threaten,/ˈθret(ə)n/,endanger；jeopardize；risk；hazard,v.威胁，危及,https://www.guixue.com/apps/word/corpus/10176/21940/1
91,2,2,21,practice,/ˈpræktɪs/,method；exercise,n.实行；练习,https://www.guixue.com/apps/word/corpus/10176/21940/1
92,2,2,22,bacteria,/bækˈtɪəriə/,virus；germ；microbe,n.细菌,https://www.guixue.com/apps/word/corpus/10176/21940/1
93,2,2,23,be subject to,/bi ˈsʌbdʒɪkt tu/,face,受......支配,https://www.guixue.com/apps/word/corpus/10176/21940/1
94,2,2,24,be liable to,/bi ˈlaɪəbl tu/,potential,易于…...,https://www.guixue.com/apps/word/corpus/10176/21940/1
95,2,2,25,innate,/ɪˈneɪt/,built-in；inborn,adj.天生的；内在的，直觉的,https://www.guixue.com/apps/word/corpus/10176/21940/1
96,2,2,26,pattern,/ˈpæt(ə)n/,formation,n.模式,https://www.guixue.com/apps/word/corpus/10176/21940/1
97,2,2,27,therapy,/ˈθerəpi/,treatment,n. 治疗，理疗,https://www.guixue.com/apps/word/corpus/10176/21940/1
98,2,2,28,original,/əˈrɪdʒən(ə)l/,initial；first,adj. 原始的，最初的,https://www.guixue.com/apps/word/corpus/10176/21940/1
99,2,2,29,confidential,/ˌkɒnfɪˈdenʃ(ə)l/,undisclosed；secret；hidden,adj. 机密的，秘密的,https://www.guixue.com/apps/word/corpus/10176/21940/1
100,2,2,30,cognitive,/ˈkɒɡnətɪv/,mental,adj. 认知的,https://www.guixue.com/apps/word/corpus/10176/21940/1
101,2,2,31,comply with,/kəmˈplaɪ wɪð/,obey,照做，遵守,https://www.guixue.com/apps/word/corpus/10176/21940/1
102,2,2,32,consult,/kənˈsʌlt/,ask for advice,v. 查阅，商量，请教，咨询,https://www.guixue.com/apps/word/corpus/10176/21940/1
103,2,2,33,superior,/suːˈpɪəriə(r)/,higher；upper,adj. 上级的；优秀的,https://www.guixue.com/apps/word/corpus/10176/21940/1
104,2,2,34,co-operation,/kəʊˌɒpəˈreɪʃn/,support；work together,n. 合作，协作,https://www.guixue.com/apps/word/corpus/10176/21940/1
105,2,2,35,co-ordinate,/kəʊˈɔːdɪneɪt/,organize；harmonize,v. 使…协调,https://www.guixue.com/apps/word/corpus/10176/21940/1
106,2,2,36,differ,/ˈdɪfə(r)/,vary,v. 使......相异；使......不同,https://www.guixue.com/apps/word/corpus/10176/21940/1
107,2,2,37,cue,/kjuː/,hint；clue,n. 线索,https://www.guixue.com/apps/word/corpus/10176/21940/1
108,2,2,38,signal,/ˈsɪɡnəl/,symbol；mark；sign,n. 信号,https://www.guixue.com/apps/word/corpus/10176/21940/1
109,2,2,39,abandon,/əˈbændən/,quit；give up；forsake；derelict,v. 放弃，遗弃,https://www.guixue.com/apps/word/corpus/10176/21940/1
110,2,2,40,halt,/hɔːlt/,stop；quit,n. 停止,https://www.guixue.com/apps/word/corpus/10176/21940/1
111,2,2,41,fragile,/ˈfrædʒaɪl/,vulnerable,adj. 脆弱的,https://www.guixue.com/apps/word/corpus/10176/21940/1
112,2,2,42,retain,/rɪˈteɪn/,maintain,v. 记住,https://www.guixue.com/apps/word/corpus/10176/21940/1
113,2,2,43,vanish,/ˈvænɪʃ/,disappear,n.消失，绝迹,https://www.guixue.com/apps/word/corpus/10176/21940/1
114,2,2,44,delivery,/dɪˈlɪvərɪ/,send,n. 递送,https://www.guixue.com/apps/word/corpus/10176/21940/1
115,2,2,45,erode,/ɪˈrəʊd/,rust；damage,v. 侵蚀,https://www.guixue.com/apps/word/corpus/10176/21940/1
116,2,2,46,induce,/ɪnˈdjuːs/,cause；lead to,v. 引起，引诱,https://www.guixue.com/apps/word/corpus/10176/21940/1
117,2,2,47,stable,/ˈsteɪb(ə)l/,constant；unchanged,adj. 稳定的,https://www.guixue.com/apps/word/corpus/10176/21940/1
118,2,2,48,integrate,/ˈɪntɪɡreɪt/,combine；whole,v. 使......成整体,https://www.guixue.com/apps/word/corpus/10176/21940/1
119,2,2,49,equal,/ˈiːkwəl/,fair；even,adj. 平等的；相等的；胜任的,https://www.guixue.com/apps/word/corpus/10176/21940/1
120,2,2,50,grant,/ɡrɑːnt/,offer,v. 拨款；授予,https://www.guixue.com/apps/word/corpus/10176/21940/1
121,3,1,1,accumulate,/əˈkjuːmjəleɪt/,gather,v.积累，积聚,https://www.guixue.com/apps/word/corpus/10176/21942/1
122,3,1,2,addictive,/əˈdɪktɪv/,habit,adj. 上瘾的,https://www.guixue.com/apps/word/corpus/10176/21942/1
123,3,1,3,adversity,/ədˈvɜːsəti/,trouble,n. 逆境，不幸,https://www.guixue.com/apps/word/corpus/10176/21942/1
124,3,1,4,aggression,/əˈɡreʃ(ə)n/,attack,n. 侵犯，侵害,https://www.guixue.com/apps/word/corpus/10176/21942/1
125,3,1,5,agreeable,/əˈɡriːəb(ə)l/,pleasant,adj.令人愉快的；合适的；和蔼可亲的,https://www.guixue.com/apps/word/corpus/10176/21942/1
126,3,1,6,aid,/eɪd/,help,n.援助，帮助,https://www.guixue.com/apps/word/corpus/10176/21942/1
127,3,1,7,allergic,/əˈlɜːdʒɪk/,irritate,adj. 过敏的；对…极讨厌的,https://www.guixue.com/apps/word/corpus/10176/21942/1
128,3,1,8,altitude,/ˈæltɪtjuːd/,height,n.高度，海拔,https://www.guixue.com/apps/word/corpus/10176/21942/1
129,3,1,9,application,/ˌæplɪˈkeɪʃ(ə)n/,utilization,n.应用,https://www.guixue.com/apps/word/corpus/10176/21942/1
130,3,1,10,approve,/əˈpruːv/,agree,v.批准,https://www.guixue.com/apps/word/corpus/10176/21942/1
131,3,1,11,array,/əˈreɪ/,order,n.排列，大批,https://www.guixue.com/apps/word/corpus/10176/21942/1
132,3,1,12,assign,/əˈsaɪn/,allocate,v.分配，指派,https://www.guixue.com/apps/word/corpus/10176/21942/1
133,3,1,13,association,/əˌsəʊsiˈeɪʃn; əˌsəʊʃiˈeɪʃn/,union,n.协会，联盟；联系,https://www.guixue.com/apps/word/corpus/10176/21942/1
134,3,1,14,attitude,/ˈætɪtjuːd/,opinion,n.看法，态度,https://www.guixue.com/apps/word/corpus/10176/21942/1
135,3,1,15,authority,/ɔːˈθɒrətɪ/,government,n.当局，权威,https://www.guixue.com/apps/word/corpus/10176/21942/1
136,3,1,16,be consistent with,/bi kənˈsɪstənt wɪð/,compatible,与……一致,https://www.guixue.com/apps/word/corpus/10176/21942/1
137,3,1,17,bear,/beə(r)/,tolerate,v.承担；忍受,https://www.guixue.com/apps/word/corpus/10176/21942/1
138,3,1,18,blight,/blaɪt/,destroy,v.损害；枯萎,https://www.guixue.com/apps/word/corpus/10176/21942/1
139,3,1,19,boundary,/ˈbaʊndri/,barrier,n.边界；底线,https://www.guixue.com/apps/word/corpus/10176/21942/1
140,3,1,20,bungle,/ˈbʌŋɡ(ə)l/,mishandle,v. 搞糟，拙劣地工作,https://www.guixue.com/apps/word/corpus/10176/21942/1
141,3,1,21,burden,/ˈbɜːd(ə)n/,load,n.负担,https://www.guixue.com/apps/word/corpus/10176/21942/1
142,3,1,22,calamity,/kəˈlæməti/,disaster,n. 灾难,https://www.guixue.com/apps/word/corpus/10176/21942/1
143,3,1,23,capacity,/kəˈpæsəti/,volume,n.容量,https://www.guixue.com/apps/word/corpus/10176/21942/1
144,3,1,24,catastrophic,/ˌkætəˈstrɒfɪk/,disastrous,adj. 灾难的,https://www.guixue.com/apps/word/corpus/10176/21942/1
145,3,1,25,cater,/ˈkeɪtə(r)/,serve,v.迎合；满足需求,https://www.guixue.com/apps/word/corpus/10176/21942/1
146,3,1,26,certify,/ˈsɜːtɪfaɪ/,verify,v. 证明，保证,https://www.guixue.com/apps/word/corpus/10176/21942/1
147,3,1,27,civic,/ˈsɪvɪk/,municipal,adj.市民的,https://www.guixue.com/apps/word/corpus/10176/21942/1
148,3,1,28,comment,/ˈkɒment/,remark,n.评论；意见  v.评论,https://www.guixue.com/apps/word/corpus/10176/21942/1
149,3,1,29,commitment,/kəˈmɪtmənt/,engagement,n. 承诺，许诺，义务，致力,https://www.guixue.com/apps/word/corpus/10176/21942/1
150,3,1,30,communal,/kəˈmjuːn(ə)l/,public,adj. 公民的；公共的,https://www.guixue.com/apps/word/corpus/10176/21942/1
151,3,1,31,commute,/kəˈmjuːt/,travel,v. 通勤；用…交换,https://www.guixue.com/apps/word/corpus/10176/21942/1
152,3,1,32,compare,/kəmˈpeə(r)/,contrast,v.与……相比较,https://www.guixue.com/apps/word/corpus/10176/21942/1
153,3,1,33,conceal,/kənˈsiːl/,hide,v. 隐藏；隐瞒,https://www.guixue.com/apps/word/corpus/10176/21942/1
154,3,1,34,concentrate,/ˈkɒns(ə)ntreɪt/,focus,v. 集中，专心于,https://www.guixue.com/apps/word/corpus/10176/21942/1
155,3,1,35,concur,/kənˈkɜː(r)/,agree,v. 同意,https://www.guixue.com/apps/word/corpus/10176/21942/1
156,3,1,36,confer,/kənˈfɜː(r)/,grant,v. 授予，给予,https://www.guixue.com/apps/word/corpus/10176/21942/1
157,3,1,37,conflict,/ˈkɒnflɪkt/,unharmonious,n. 冲突，矛盾,https://www.guixue.com/apps/word/corpus/10176/21942/1
158,3,1,38,confuse,/kənˈfjuːz/,puzzle,v.使混乱，使迷惑,https://www.guixue.com/apps/word/corpus/10176/21942/1
159,3,1,39,conservative,/kənˈsɜːvətɪv/,traditional,a.保守的,https://www.guixue.com/apps/word/corpus/10176/21942/1
160,3,1,40,considerable,/kənˈsɪdərəb(ə)l/,significant,a.相当大的；重要的,https://www.guixue.com/apps/word/corpus/10176/21942/1
161,3,1,41,contingent,/kənˈtɪndʒənt/,uncertain,adj. 因情况而异的,https://www.guixue.com/apps/word/corpus/10176/21942/1
162,3,1,42,controversial,/ˌkɒntrəˈvɜːʃ(ə)l/,disputable,adj.有争论的,https://www.guixue.com/apps/word/corpus/10176/21942/1
163,3,1,43,correlation,/ˌkɒrəˈleɪʃ(ə)n/,link,n.相关，关联,https://www.guixue.com/apps/word/corpus/10176/21942/1
164,3,1,44,courtship,/ˈkɔːtʃɪp/,mate,n. 求爱（时期）,https://www.guixue.com/apps/word/corpus/10176/21942/1
165,3,1,45,crash,/kræʃ/,collapse,n.碰撞,https://www.guixue.com/apps/word/corpus/10176/21942/1
166,3,1,46,credibility,/ˌkredəˈbɪləti/,reliance,n. 可信性,https://www.guixue.com/apps/word/corpus/10176/21942/1
167,3,1,47,criminal,/ˈkrɪmɪn(ə)l/,conviction,n.罪犯，犯人,https://www.guixue.com/apps/word/corpus/10176/21942/1
168,3,1,48,crisis,/ˈkraɪsɪs/,risk,"n.危机
=risk",https://www.guixue.com/apps/word/corpus/10176/21942/1
169,3,1,49,criticism,/ˈkrɪtɪsɪzəm/,condemn,n.评论,https://www.guixue.com/apps/word/corpus/10176/21942/1
170,3,1,50,curb,/kɜːb/,restrict,v.限制，抑制,https://www.guixue.com/apps/word/corpus/10176/21942/1
171,3,2,1,damp,/dæmp/,wet,"adj. 潮湿的
=wet",https://www.guixue.com/apps/word/corpus/10176/21943/1
172,3,2,2,dazzle,/ˈdæz(ə)l/,flash,v.使目眩；使…… 眼花,https://www.guixue.com/apps/word/corpus/10176/21943/1
173,3,2,3,deadline,/ˈdedlaɪn/,limit,n.最后期限,https://www.guixue.com/apps/word/corpus/10176/21943/1
174,3,2,4,delay,/dɪˈleɪ/,postpone,n.延期，耽搁,https://www.guixue.com/apps/word/corpus/10176/21943/1
175,3,2,5,democratic,/ˌdeməˈkrætɪk/,republic,adj.民主的,https://www.guixue.com/apps/word/corpus/10176/21943/1
176,3,2,6,demographic,/ˌdeməˈɡræfɪk/,population statistic,adj. 人口统计学的;  人口学的,https://www.guixue.com/apps/word/corpus/10176/21943/1
177,3,2,7,dental,/ˈdent(ə)l/,teeth,adj. 牙科的，牙齿的,https://www.guixue.com/apps/word/corpus/10176/21943/1
178,3,2,8,depression,/dɪˈpreʃn/,frustration,n.抑郁，沮丧,https://www.guixue.com/apps/word/corpus/10176/21943/1
179,3,2,9,designate,/ˈdezɪɡneɪt/,appoint,n.指定；指派，标出,https://www.guixue.com/apps/word/corpus/10176/21943/1
180,3,2,10,detain,/dɪˈteɪn/,hold,v.留住,https://www.guixue.com/apps/word/corpus/10176/21943/1
181,3,2,11,devastate,/ˈdevəsteɪt/,wreck,v.毁坏，毁灭,https://www.guixue.com/apps/word/corpus/10176/21943/1
182,3,2,12,disclose,/dɪsˈkləʊz/,expose,v.公开；揭露,https://www.guixue.com/apps/word/corpus/10176/21943/1
183,3,2,13,disparate,/ˈdɪspərət/,different,adj. 不同的,https://www.guixue.com/apps/word/corpus/10176/21943/1
184,3,2,14,display,/dɪˈspleɪ/,show,n.显示,https://www.guixue.com/apps/word/corpus/10176/21943/1
185,3,2,15,disrupt,/dɪsˈrʌpt/,destroy,v.破坏,https://www.guixue.com/apps/word/corpus/10176/21943/1
186,3,2,16,distract,/dɪˈstrækt/,divert,v.转移，分心,https://www.guixue.com/apps/word/corpus/10176/21943/1
187,3,2,17,distribute,/dɪˈstrɪbjuːt/,spread,v.分配，分发,https://www.guixue.com/apps/word/corpus/10176/21943/1
188,3,2,18,documentation,/ˌdɒkjumenˈteɪʃn/,record,n. 文件；文献,https://www.guixue.com/apps/word/corpus/10176/21943/1
189,3,2,19,domain,/dəˈmeɪn/,field,n.领域,https://www.guixue.com/apps/word/corpus/10176/21943/1
190,3,2,20,dominant,/ˈdɒmɪnənt/,overbearing,adj.占优势的，占支 配地位的,https://www.guixue.com/apps/word/corpus/10176/21943/1
191,3,2,21,dramatic,/drəˈmætɪk/,striking,adj.戏剧化的；激动人心的，引人注意的,https://www.guixue.com/apps/word/corpus/10176/21943/1
192,3,2,22,drought,/draʊt/,dry,n.干旱,https://www.guixue.com/apps/word/corpus/10176/21943/1
193,3,2,23,durable,/ˈdjʊərəb(ə)l/,lasting,adj. 持久的,https://www.guixue.com/apps/word/corpus/10176/21943/1
194,3,2,24,eco-friendly,/ˌiːkəʊ ˈfrendli/,environmentally-friendly,"adj.生态有好的,环保的",https://www.guixue.com/apps/word/corpus/10176/21943/1
195,3,2,25,elaborate,/ɪˈlæbərət/,illustrate,v.详细阐述，详细叙述,https://www.guixue.com/apps/word/corpus/10176/21943/1
196,3,2,26,elderly,/ˈeldəli/,aged,adj.高龄的,https://www.guixue.com/apps/word/corpus/10176/21943/1
197,3,2,27,eliminate,/ɪˈlɪmɪneɪt/,dispose,v.消除，排除,https://www.guixue.com/apps/word/corpus/10176/21943/1
198,3,2,28,elusive,/ɪˈluːsɪv/,hard,"adj.难懂的,难捉摸的；行踪隐秘的",https://www.guixue.com/apps/word/corpus/10176/21943/1
199,3,2,29,encyclopaedia,/ɪnˌsaɪkləˈpiːdiə/,entire range of knowledge,n. 百科全书,https://www.guixue.com/apps/word/corpus/10176/21943/1
200,3,2,30,entrepreneur,/ˌɒntrəprəˈnɜː(r)/,boss,n. 企业家,https://www.guixue.com/apps/word/corpus/10176/21943/1
201,3,2,31,equator,/ɪˈkweɪtə(r)/,geography,n. 赤道,https://www.guixue.com/apps/word/corpus/10176/21943/1
202,3,2,32,erratically,/ɪˈrætɪkli/,unpredictably,adv. 不定地，无规律地,https://www.guixue.com/apps/word/corpus/10176/21943/1
