id	word	action	reason	evidence	finalExample	finalExampleCn
word_ff2d8bbf7d0b	eighteenth	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	His eighteenth birthday party.	他的十八岁生日派对很有趣。
word_8eedcf521870	law	repair	space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	Driving without a licence is against the law.	无证驾驶是违法的。
word_0912b82569a6	radio	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I listen to the radio in the car.	我在车里听收音机。
word_1ad374e62df0	subsequently	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He graduated and subsequently found.	他毕业后随后找到了工作。
word_86276aa9a372	proud	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I am proud of the son.	我为我的儿子感到自豪。
word_06704b114b8e	devil	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The devil is often depicted.	魔鬼常被描绘成红色。
word_559d05ac9c79	sea	repair	unfinished_example,space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	We went swimming in the sea.	我们去海里游泳了。
word_e7baf2991455	gratitude	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I expressed my gratitude.	我向他表达了感激。
word_fdd53b6f84ed	grandmother	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	My grandmother taught me how.	我的祖母教我如何缝纫。
word_775201958993	london	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I visited London last summer and saw the Big Ben.	我去年夏天去了伦敦，看到了大本钟。
word_dec51a75c226	rainy	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The weather is rainy today, so I took.	今天下雨，所以我搭了公交车。
word_40f42559899b	gain	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She gained experience from the job.	她从这份工作中获得了经验。
word_25ebb7a4846b	password	repair	human-semantic-followup	现有完整中文例句与人工语义复核	Enter your password to log in.	输入密码登录。
word_d1d3706eb805	particle	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Dust particles float in the air.	灰尘微粒漂浮在空气中。
word_b0d79ba7f2de	savings	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She used her savings to buy.	她用她的储蓄买了一辆车。
word_81ca8a0d58a8	motto	repair	unfinished_example	现有中文例句、本地词条字段及人工语义复核	My motto is 'never give up'.	我的座右铭是“永不放弃”。
word_b02dd0ddfb02	bone	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He broke a bone in the leg.	他腿骨折了。
word_d85898555958	literally	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He literally ran all.	他 literally 一路跑着。
word_3a8b4f11d461	baseball	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Baseball is a popular sport in the United States.	棒球在美国是一项受欢迎的运动。
word_843ef7f7f1c5	demonstration	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	There was a demonstration against the new law.	有一场反对新法律的示威。
word_0941e5ee5d44	compare	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Compare the prices before.	购买前比较一下价格。
word_c091ae22538c	accept	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I accept your offer for the job.	我接受你的工作邀请。
word_9fce2172ca92	loose	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	This shirt is loose.	这件衬衫我穿着宽松。
word_e4a5dff37f69	rush	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I had to rush to catch.	我不得不匆忙赶公交车。
word_cc469b9bbc47	parade	repair	unfinished_example	现有中文例句、本地词条字段及人工语义复核	We watched the parade on New Year's Day.	我们在元旦观看了游行。
word_9a92180d3f67	bitter	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The coffee was too bitter.	这咖啡对我来说太苦了。
word_7070e7e06d4b	feed	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I need to feed my cat twice.	我需要每天喂猫两次。
word_0498fcc46825	friend	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I made a new friend at the gym.	我在健身房交了一个新朋友。
word_44f0a0a36528	opportunity	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	This job is a great opportunity.	这份工作对我来说是个好机会。
word_63f5565721a3	license	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	You need a license to drive.	你需要驾照才能开车。
word_876399a2e139	toy	repair	unfinished_example,space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	The child played with a toy car.	孩子玩了一辆玩具车。
word_ae8c1409702a	hold	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Please hold the door open.	请帮我扶着门。
word_4c27ae7c0ea9	sex	repair	space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	The form asks for your name, age, and sex.	表格要求填写姓名、年龄和性别。
word_6ca83a24fb9b	difficulty	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He had difficulty finding.	他找工作有困难。
word_82ca0b6a73ad	subscription	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I have a monthly subscription to the gym.	我每月订阅健身房会员。
word_dda0e60b5665	guard	repair	unfinished_example	现有中文例句、本地词条字段及人工语义复核	The security guard checks everyone's attention.	保安检查每个人的身份证。
word_635bf3103516	massachusetts	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He moved to Massachusetts for a job.	他为了新工作搬到了马萨诸塞州。
word_a972953c1fce	day	repair	space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	I work eight hours a day.	我每天工作八小时。
word_0bb14bc8c7bc	inquire	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I called to inquire about.	我打电话询问工作。
word_2c98bbff8842	rubdown	repair	human-semantic-followup	现有完整中文例句与人工语义复核	After the long run, she treated herself to a relaxing rubdown at the spa.	长跑后，她去水疗中心享受了一次放松按摩。
word_2b077c3a1467	circumstance	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Under no circumstance should.	在任何情况下你都不应该撒谎。
word_aafcc8ac88fa	distinction	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	There is a clear distinction between.	两者之间有明显的区别。
word_4a80f63cd9c8	amenity	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The apartment has great amenities like a pool.	公寓有很好的便利设施，比如游泳池和健身房。
word_13c6380c599c	banker	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The banker explained the loan terms.	银行家向我们解释了贷款条款。
word_4a2fc953f5b7	bin	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	Please put the paper in the blue bin.	请把纸放进蓝色垃圾桶。
word_63cccf49391e	click	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Click the link to apply for the job.	点击链接申请这份工作。
word_540e3fedb216	concierge	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The concierge booked a taxi.	礼宾员为我们叫了出租车。
word_49b5e153d186	correspondence	repair	human-semantic-followup	现有完整中文例句与人工语义复核	I have a long correspondence with my penfriend.	我和笔友有长期的通信。
word_49dc3eba14f5	diagnostic	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	They ran a diagnostic test on the car.	他们对汽车进行了诊断测试。
word_ad73de84ea43	exhaust	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The car exhaust pollutes.	汽车尾气污染空气。
word_c985547f308d	farewell	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	We held a farewell party.	我们为他举办了告别派对。
word_c985ff8f2a43	fax	repair	space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	Please send the contract by fax.	请用传真发送合同。
word_c9aed4792b79	firework	repair	unfinished_example	现有中文例句、本地词条字段及人工语义复核	We watched the fireworks display on New Year's Day.	我们在除夕夜看了烟花表演。
word_b3e046773ad5	hotline	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	Call the customer hotline if you need urgent help.	如需紧急帮助，请拨打客户热线。
word_ee88600844aa	hourly	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The bus runs hourly from 6 a.m. to 10.	公交车从早上6点到晚上10点每小时一班。
word_c08e53adc1a3	impatient	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He became impatient waiting for the bus.	他等公交车时变得不耐烦。
word_66c869cfdefd	ink	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	Please sign the form with black ink.	请用黑色墨水签署表格。
word_debc7ee5e8dd	nap	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	I took a short nap after lunch.	午饭后我小睡了一会儿。
word_5cab48ac6b30	paperwork	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I have a lot of paperwork.	我有很多文书工作要做。
word_bcb2ea95b444	pie	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	She ate a slice of apple pie.	她吃了一片苹果派。
word_c9a61696cc29	pillow	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I need an extra pillow for the bed.	我床上需要一个额外的枕头。
word_2ec968e51f85	placement	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The agency found a job placement.	中介为他找到了工作安置。
word_d1d4d8e296ac	purse	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I left my purse on the bus.	我把钱包落在公交车上了。
word_411df96bc196	salesman	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The salesman helped me choose.	男推销员帮我选了一辆车。
word_719c8b6b9b91	sew	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	My grandmother taught me how.	我祖母教我如何缝纫。
word_adca1042e456	subsidize	repair	human-semantic-followup	现有完整中文例句与人工语义复核	The government subsidizes public transport to encourage people to use it.	政府补贴公共交通，以鼓励人们使用。
word_8c44030e6722	tag	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Check the price tag before.	购买前请查看价格标签。
word_104db0d3d57a	teller	repair	human-semantic-followup	现有完整中文例句与人工语义复核	The teller asked for my identification.	出纳员要求看我的身份证。
word_a531d181f0ea	tempt	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The offer tempted him to quit.	那个提议诱惑他辞职。
word_81427d2a9282	toll	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The accident death toll rose.	事故死亡人数上升到十人。
word_1d92dae504a7	insecure	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She feels insecure about.	她对工作感到不安。
word_fe4a6ca32aaf	honey	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I like honey in the tea.	我喜欢在茶里加蜂蜜。
word_bdc87ed01c4f	barrel	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The barrel is full.	桶里装满了油。
word_687a1c21a322	girlfriend	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He introduced his girlfriend.	他把他的女朋友介绍给我们。
word_4bd6d3066bf7	headline	repair	unfinished_example	现有中文例句、本地词条字段及人工语义复核	The headline says 'Economy improves'.	标题写着“经济改善”。
word_d91416977303	ritual	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Morning coffee is a daily ritual.	早上的咖啡是他的日常仪式。
word_81bf8cff3287	subtle	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	There is a subtle difference between.	两者之间有一个细微的差别。
word_a3a675d5db82	melt	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The ice cream melted in the sun.	冰淇淋在阳光下融化了。
word_8f87ec9c4a0b	monster	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	My son is afraid of monsters under.	我儿子害怕床下的怪物。
word_72eeab728ea5	bat	repair	unfinished_example,space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	He hit the ball with a bat.	他用球棒击球。
word_6f4395bcd8f8	sweat	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I was sweating after.	跑步后我出汗了。
word_919e11cc0f60	profound	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The experience had a profound effect.	那次经历对我产生了深远影响。
word_6a9c3dc2f918	hug	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	She gave her friend a warm hug.	她热情地拥抱了朋友。
word_73d7a1d2aef1	grief	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She felt great grief after losing.	失业后她感到极大的悲痛。
word_2930d7e4b3de	wagon	repair	human-semantic-followup	现有完整中文例句与人工语义复核	They loaded the wagon with hay.	他们把干草装上马车。
word_3dffc494661d	jar	repair	unfinished_example,space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	She stored the biscuits in a jar.	她把饼干放在罐子里。
word_37660b61d944	breeze	repair	human-semantic-followup	现有完整中文例句与人工语义复核	A gentle breeze was blowing from the sea.	一阵轻柔的微风从海上吹来。
word_7537e5c3acc7	icon	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Click the icon to open.	点击图标打开应用。
