priority	id	word	categories	disposition	evidence
P1	word_68dc6b6f2db3	satisfy	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	满足
P2	word_2d60798e8481	occur	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	发生；出现
P1	word_298c6770970d	dollar	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	美元 | meaningDetailedZh为空 | “dollar”常见含义为：美元。
P2	word_b3ca93ba2c31	tissue	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	组织；纸巾 | meaningDetailedZh为空 | “tissue”常见含义为：组织；纸巾。
P2	word_d004dcd0ab67	mistake	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	错误；弄错
P2	word_3b7220a578f8	wander	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	漫步，闲逛
P2	word_12c8c68fb6ae	politician	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	政治家；政客 | meaningDetailedZh为空 | “politician”常见含义为：政治家；政客。
P2	word_9a54a61e2c8c	extra	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	额外的；附加的
P2	word_33d99fb9484e	instance	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	实例；情况
P2	word_c739ed592891	skill	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	技能；技巧 | 同骨架出现23次
P1	word_0b585a3e74f1	illness	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	疾病 | 同骨架出现7次
P1	word_6dbc6763e91b	deer	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	鹿 | meaningDetailedZh为空 | “deer”常见含义为：鹿。
P1	word_4d5077015aa2	carbon	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	碳
P2	word_37444045ad1f	horrible	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	可怕的；极糟糕的 | meaningDetailedZh为空 | “horrible”常见含义为：可怕的；极糟糕的。
P1	word_46e2662e18e4	hide	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	隐藏
P2	word_10517687ee0c	all	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	所有的；全部的
P1	word_b8aff909c231	child	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	孩子 | meaningDetailedZh为空 | “child”常见含义为：孩子。
P2	word_bb30ca8a7f9e	worthwhile	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	值得的 | 同骨架出现34次
P2	word_5776fe8fc323	enormous	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	巨大的 | 同骨架出现8次
P1	word_5d4f74be5925	plastic	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	塑料
P1	word_2915570de3a4	participation	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	参与
P2	word_0e4ab91df359	meet	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	遇见；满足；会面 | meaningDetailedZh为空 | “meet”常见含义为：遇见；满足；会面。
P2	word_b77227fee801	attend	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	参加；出席
P2	word_e38341b93b91	poll	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	民意调查 | meaningDetailedZh为空 | “poll”常见含义为：民意调查。
P2	word_7b9de79114be	trial	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	试验，审判 | meaningDetailedZh为空 | “trial”常见含义为：试验，审判。
P2	word_a838666f9dad	rustproof	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	防锈的 | meaningDetailedZh为空 | “rustproof”常见含义为：防锈的。
P1	word_60801e0a6947	affect	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	影响
P2	word_016f8342d3c6	conventional	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	传统的；常规的 | 同骨架出现9次
P2	word_062c014b6f0f	explicitly	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	明确地
P2	word_e4967a266589	commerce	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	商业；贸易 | meaningDetailedZh为空 | “commerce”常见含义为：商业；贸易。
P2	word_c84217677f1f	dig	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	挖；掘 | meaningDetailedZh为空 | “dig”常见含义为：挖；掘。
P2	word_16312d5e5091	public	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	公共的，公众的 | 同骨架出现15次
P2	word_d5318638797d	agitation	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,duplicate_template_example	defer	焦虑，煽动 | meaningDetailedZh为空 | “agitation”常见含义为：焦虑，煽动。
P1	word_50a0087fb8ea	banana	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	香蕉 | meaningDetailedZh为空 | “banana”常见含义为：香蕉。
P2	word_33a17ed41450	pension	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	养老金；退休金 | 同骨架出现5次
P2	word_41c2d7598ac4	example	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	例子；榜样
P2	word_c11a5b565420	continually	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	持续地 | 同骨架出现91次
P1	word_d7ee8696d4f4	song	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,duplicate_template_example	defer	歌曲 | meaningDetailedZh为空 | “song”常见含义为：歌曲。
P1	word_8e12102ca4bc	ball	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	球 | 同骨架出现4次
P2	word_fb734352912b	commander	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	指挥官；司令官 | meaningDetailedZh为空 | “commander”常见含义为：指挥官；司令官。
P2	word_7c48b954979b	blame	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	责备；归咎
P1	word_765350fb5864	colleague	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	同事 | 同骨架出现4次
P2	word_cec0a059a285	administer	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	管理；执行 | 同骨架出现15次
P2	word_3bfc11ea4d00	modify	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	修改；调整 | 同骨架出现14次
P2	word_a663aa14cadd	form	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	形式；表格 | 同骨架出现5次
P2	word_a69449b0b1e7	sort	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	种类，分类
P2	word_89bb7906f704	connection	definition_chinese_only,meaning_detailed_not_expanded	defer	连接；联系 | 连接；联系；关系；关联
P2	word_63352ab2d52c	relationship	definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	关系；联系 | 关系；关联；亲属关系 | 同骨架出现12次
P2	word_c977ef2693a6	brilliant	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	杰出的；明亮的
P1	word_e17d3476d2de	arrival	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	到达 | 同骨架出现13次
P2	word_68e01fa1c3c6	rest	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	休息；其余
P1	word_53dc51f33d69	your	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,duplicate_template_example	defer	你的 | meaningDetailedZh为空 | “your”常见含义为：你的。
P2	word_664b9c91d54d	difficult	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	困难的
P2	word_d0e569a8f64c	holy	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	神圣的 | meaningDetailedZh为空 | “holy”常见含义为：神圣的。
P2	word_c427ddc8d45a	notion	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	概念；想法
P2	word_4aa13245e126	platform	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	平台；站台
P2	word_f4b85b51ce46	dimension	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	维度；尺寸 | 同骨架出现37次
P2	word_133f3bdb7658	analytical	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	分析的 | 同骨架出现11次
P2	word_3f14305fd2bb	entertain	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	娱乐；招待 | meaningDetailedZh为空 | “entertain”常见含义为：娱乐；招待。
P2	word_5cafeaac64c9	independent	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	独立的
P2	word_5141554cb3f0	ancient	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	古代的；古老的 | 同骨架出现16次
P2	word_c7cb13144c91	operator	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	操作员；接线员 | meaningDetailedZh为空 | “operator”常见含义为：操作员；接线员。
P2	word_eec202e0f059	department	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	部门；系 | 同骨架出现6次
P2	word_170c5024997a	ceremony	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	典礼；仪式 | 同骨架出现24次
P2	word_a9ee19f8ad26	versus	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	对；与...相对 | meaningDetailedZh为空 | “versus”常见含义为：对；与...相对。
P2	word_056a0ecaa761	awesome	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,duplicate_template_example	defer	极好的 | meaningDetailedZh为空 | “awesome”常见含义为：极好的。
P2	word_7e5cd338ac52	territory	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	领土；领域 | 同骨架出现34次
P2	word_7f866bf2e6a9	reducer	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	减压阀；减少装置
P2	word_929ddb10ccee	curious	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	好奇的
P1	word_55da17fc0701	clot	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	凝块 | meaningDetailedZh为空 | “clot”常见含义为：凝块。
P2	word_6ada557fd0f2	injury	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	伤害，损伤
P2	word_4372beea4720	tear	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	眼泪（名词）；撕破（动词）
P1	word_ede0069f35ac	placenta	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	胎盘
P1	word_7a245c2f9a9a	departure	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	出发
P2	word_6c3011fe43d9	labour	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	劳动，劳动力
P2	word_dcf684ba5ff2	mess	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	混乱；脏乱 | meaningDetailedZh为空 | “mess”常见含义为：混乱；脏乱。
P1	word_b9ca855632ab	efficiency	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	效率 | 同骨架出现6次
P2	word_6d9eee12a7f5	assert	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	断言；主张
P2	word_c3a5aafa84fd	nobody	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	没有人 | meaningDetailedZh为空 | “nobody”常见含义为：没有人。
P2	word_919618451e05	extensive	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	广泛的；大量的
P2	word_534b9f928c93	index	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	索引，指数
P1	word_4fbeb3982230	prevention	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	预防 | 同骨架出现7次
P2	word_296c291b4304	diplomatic	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	外交的；有策略的
P2	word_bf466ef9418e	hang	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	悬挂；吊死 | meaningDetailedZh为空 | “hang”常见含义为：悬挂；吊死。
P2	word_0885ff9f77fb	fix	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	修理；固定 | meaningDetailedZh为空 | “fix”常见含义为：修理；固定。
P2	word_92d31811901b	ratio	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	比率；比例
P2	word_a6d64067afaf	tutorial	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	辅导课；教程 | meaningDetailedZh为空 | “tutorial”常见含义为：辅导课；教程。
P2	word_9a65b94eeb86	enclosed	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	随信附上的；装在里面的 | meaningDetailedZh为空 | “enclosed”常见含义为：随信附上的；装在里面的。学习时可结合“书信”主题理解其具体用法。
P2	word_a845caf2dbc5	case	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	案例；情况；箱子 | meaningDetailedZh为空 | “case”常见含义为：案例；情况；箱子。
P2	word_050e3fda1ce0	dreadful	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	可怕的；糟糕的 | meaningDetailedZh为空 | “dreadful”常见含义为：可怕的；糟糕的。
P2	word_c1dca7cfb5a0	brown	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	棕色的
P2	word_b37e5c36a093	house	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	房屋；房子 | meaningDetailedZh为空 | “house”常见含义为：房屋；房子。
P2	word_56953f9c44c6	enough	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	足够的
P2	word_b1e830c1b1f0	leisure	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	闲暇，休闲
P2	word_1ad2e2b9438a	feel	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	感觉；认为；触摸 | meaningDetailedZh为空 | “feel”常见含义为：感觉；认为；触摸。
P2	word_b598a6da198c	really	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	真正地；非常 | meaningDetailedZh为空 | “really”常见含义为：真正地；非常。
P1	word_4ea51de495a0	previously	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	以前
P2	word_a5c96bc8a871	deskjob	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,target_absent_after_morphology	defer	案头工作 | After years of a desk job, she decided to become a fitness instructor. | 词形归一化后仍未命中；本轮不自动重写
P2	word_b7240ab7e0fc	flexibility	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	灵活性
P1	word_d5cc89af404f	than	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	比 | meaningDetailedZh为空 | “than”常见含义为：比。
P1	word_5fccc6c46528	bread	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	面包 | meaningDetailedZh为空 | “bread”常见含义为：面包。
P1	word_744bec41e4eb	achieve	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	实现
P2	word_a6c4ec5bc8b5	site	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	地点；网站 | 同骨架出现35次
P2	word_0cc68d474929	flexible	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	灵活的 | 同骨架出现9次
P1	word_4fefca12598e	autumn	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	秋天
P2	word_33c59041c409	moment	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	时刻；瞬间
P1	word_e69c6615046f	elect	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	选举
P2	word_1f3dfe07ce6b	empower	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	赋予权力；使能够
P2	word_d2463477937f	noble	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	高尚的；贵族的
P2	word_f91d7b1e7c53	poison	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	毒药；毒物 | 同骨架出现86次
P2	word_ba3f35bf4684	resolver	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	解决者
P2	word_7dc5e843ad83	absolutely	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,duplicate_template_example	defer	绝对地 | meaningDetailedZh为空 | “absolutely”常见含义为：绝对地。
P2	word_1e188864ab1c	interviewee	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	受访者；被面试者 | 同骨架出现6次
P2	word_f80117abc423	grave	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	坟墓；严重的 | 同骨架出现32次
P2	word_9f5b7ead8440	neck	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	脖子；颈部 | meaningDetailedZh为空 | “neck”常见含义为：脖子；颈部。
P1	word_a2fc4b0f691f	broom	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,duplicate_template_example	defer	扫帚 | meaningDetailedZh为空 | “broom”常见含义为：扫帚。
P1	word_08bed611ee02	begin	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	开始 | meaningDetailedZh为空 | “begin”常见含义为：开始。
P2	word_ee7ac0d61976	of	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,truncated_headword	defer	……的；属于 | meaningDetailedZh为空 | “of”常见含义为：……的；属于。
P2	word_85cc7230b3c5	prefer	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	更喜欢
P1	word_acf2ec1b70b3	factor	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	因素 | 同骨架出现5次
P2	word_521d81580c9d	enjoyable	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	令人愉快的
P2	word_f720aa3a3d20	protein	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	蛋白质
P2	word_3c199399481c	mean	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	意思是；意味着 | meaningDetailedZh为空 | “mean”常见含义为：意思是；意味着。
P2	word_b171603fbb04	hard	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	困难的；硬的；努力地 | 同骨架出现5次
P1	word_8fd4262cca17	choose	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	选择
P1	word_22e268d71dd6	dad	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	爸爸 | meaningDetailedZh为空 | “dad”常见含义为：爸爸。
P2	word_1702a5f35ff3	near	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	在……附近；近的 | meaningDetailedZh为空 | “near”常见含义为：在……附近；近的。
P2	word_5e87c8219a98	bulb	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	灯泡；球茎 | meaningDetailedZh为空 | “bulb”常见含义为：灯泡；球茎。
P2	word_47e7ca33dbef	segment	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	部分；段
P2	word_e2c09119f763	plane	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	飞机；平面 | meaningDetailedZh为空 | “plane”常见含义为：飞机；平面。
P2	word_901ac85b7272	burgeon	definition_chinese_only,missing_meaning_detailed,multi_meaning_without_structured_senses	defer	i. 迅速成长；发展 | meaningDetailedZh为空 | 迅速成长；发展
P2	word_0c91ed445833	marginal	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses	defer	边缘的；微小的 | meaningDetailedZh为空 | “marginal”常见含义为：边缘的；微小的。
P2	word_faf35235d111	compound	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	化合物，复合物
P1	word_9c4fdfdee071	afternoon	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	下午
P2	word_8042368c8317	variety	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	多样性；种类
P2	word_ce6faf522c7f	court	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	法院，球场
P2	word_786021f5f3ed	cable	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	电缆；缆绳 | meaningDetailedZh为空 | “cable”常见含义为：电缆；缆绳。
P1	word_31bb4b2483a4	dog	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	狗 | meaningDetailedZh为空 | “dog”常见含义为：狗。
