word	set	addSenses	addCollocations	addPhraseCollocations	addTopics	addIeltsUse	replaceSenses	auditNote
charge	"{""meaning"":""收费；费用；充电；指控"",""meaningDetailedZh"":""收费；费用；充电；指控""}"	"[{""gloss"":""费用；收费额"",""posFamily"":""noun"",""label"":""G类高频义"",""confidence"":""high"",""evidence"":[""cambridge-gt-services""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
subject	"{""pos"":""noun/adjective"",""meaning"":""科目；主题；研究对象；受……约束"",""meaningDetailedZh"":""科目；主题；研究对象；受……影响或约束""}"	"[{""gloss"":""研究对象；受试者"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-research""]},{""gloss"":""受……影响、限制或约束（subject to）"",""posFamily"":""adjective"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-rules""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
carrier	"{""meaning"":""运输工具；承运人；携带者；传播媒介"",""meaningDetailedZh"":""运输工具；承运人；携带者；病原体传播媒介""}"	"[{""gloss"":""病原体传播媒介；带菌者"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-plant-virus""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
host	"{""meaning"":""主人；主持人；宿主"",""meaningDetailedZh"":""主人；主持人；宿主或寄主""}"	"[{""gloss"":""宿主；寄主"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-parasite""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
coat	"{""meaning"":""外套；涂层；外层；外壳"",""meaningDetailedZh"":""外套；涂层；动物、种子或细胞的外层""}"	"[{""gloss"":""动物、种子或细胞的外层；外壳"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-parasite""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
breed	"{""pos"":""noun/verb"",""meaning"":""品种；繁殖；饲养；培育"",""meaningDetailedZh"":""品种；繁殖；饲养；培育""}"	"[{""gloss"":""品种"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-cattle""]},{""gloss"":""饲养；培育"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-cattle""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
rear	"{""pos"":""adjective/noun/verb"",""meaning"":""后面的；后方；饲养；养育"",""meaningDetailedZh"":""后面的；后方；饲养；养育""}"	"[{""gloss"":""饲养；养育"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-cattle""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
record	"{""meaning"":""记录；录制；首次记载"",""meaningDetailedZh"":""记录；录制；首次记载或记录实例""}"	"[{""gloss"":""首次记录；已记录的实例"",""posFamily"":""noun/verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-aphid""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
screen	"{""meaning"":""屏幕；遮挡；筛查；检测"",""meaningDetailedZh"":""屏幕；遮挡；筛查；检测""}"	"[{""gloss"":""筛查；检测；检查"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-dna-screening""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
fingerprint	"{""meaning"":""指纹；特征图谱；识别特征"",""meaningDetailedZh"":""指纹；用于识别的特征图谱""}"	"[{""gloss"":""特征图谱；识别特征（如DNA fingerprinting）"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-dna-fingerprinting""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
strain	"{""meaning"":""压力；拉紧；应变；菌株；品系"",""meaningDetailedZh"":""压力；拉紧；应变；菌株或品系""}"	"[{""gloss"":""菌株；品系；生物变种"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-biology""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
agent	"{""meaning"":""代理人；中介；作用因素；致病因子"",""meaningDetailedZh"":""代理人；中介；造成变化的因素或致病因子""}"	"[{""gloss"":""原因；作用因素；致病因子"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-marine-decline""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
bleeding	"{""meaning"":""流血；出血；（树木）液体渗出"",""meaningDetailedZh"":""流血；出血；树液或树胶渗出""}"	"[{""gloss"":""（树木等）液体渗出；流胶"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-kauri-gum""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
