word	set	addSenses	addCollocations	addPhraseCollocations	addTopics	addIeltsUse	replaceSenses	auditNote
surface	"{""meaning"":""表面；地表；浮现"",""meaningDetailedZh"":""表面；地表；浮现""}"	"[{""gloss"":""地表；表层"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-kauri-gum""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
bar	"{""example"":""We met at a bar near the station."",""exampleCn"":""我们在车站附近的一家酒吧见面。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
their	"{""example"":""Their car is parked outside."",""exampleCn"":""他们的车停在外面。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
this	"{""example"":""This is the form you need to complete."",""exampleCn"":""这就是你需要填写的表格。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
morn	"{""example"":""At morn, the valley was covered in mist."",""exampleCn"":""清晨时，山谷笼罩在雾中。"",""entryStatus"":""example-repaired-gt-20260714"",""meaning"":""早晨（诗歌或古语）"",""definition"":""morning, especially in poetic or old-fashioned use"",""difficulty"":""低频认识即可"",""category"":""IELTS G类 · 低频参考"",""studyMode"":""reference"",""gtPlanStage"":4}"							修复残缺或语法不完整的英文例句。
pit	"{""example"":""Be careful not to fall into the pit."",""exampleCn"":""小心不要掉进坑里。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
stand	"{""example"":""Please stand near the entrance."",""exampleCn"":""请站在入口附近。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
congress	"{""example"":""Congress passed the new law."",""exampleCn"":""国会通过了这项新法律。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
request	"{""example"":""I requested a day off work."",""exampleCn"":""我申请休一天假。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
map	"{""example"":""Please look at the map before you leave."",""exampleCn"":""离开前请查看地图。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
hesitate	"{""example"":""Do not hesitate to ask for help."",""exampleCn"":""需要帮助时请不要犹豫。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
low	"{""example"":""The price is lower during the winter."",""exampleCn"":""冬季价格较低。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
dec	"{""example"":""The course starts in Dec."",""exampleCn"":""课程在十二月开始。"",""entryStatus"":""example-repaired-gt-20260714"",""pos"":""abbreviation"",""meaning"":""十二月（December的缩写）"",""definition"":""abbreviation for December"",""difficulty"":""低频认识即可"",""category"":""IELTS G类 · 缩写参考"",""studyMode"":""reference"",""gtPlanStage"":4}"							修复残缺或语法不完整的英文例句。
unplug	"{""example"":""Please unplug the television before cleaning it."",""exampleCn"":""清洁电视前请拔掉插头。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
