word	action	reasonCode	set
evolve	repair	KEEP_REPAIR	{"example":"Public transport systems continue to evolve as cities grow.","exampleCn":"随着城市发展，公共交通系统不断演变。","entryStatus":"second-semantic-review-20260714"}
excess	repair	KEEP_REPAIR	{"example":"The airline charges a fee for excess baggage.","exampleCn":"航空公司会对超重行李收费。","entryStatus":"second-semantic-review-20260714"}
explicitly	repair	KEEP_REPAIR	{"example":"The notice explicitly states that refunds are unavailable.","exampleCn":"通知明确说明不提供退款。","entryStatus":"second-semantic-review-20260714"}
explode	repair	KEEP_REPAIR	{"example":"The damaged battery could explode if it overheats.","exampleCn":"损坏的电池如果过热可能会爆炸。","entryStatus":"second-semantic-review-20260714"}
fairly	repair	KEEP_REPAIR	{"example":"The manager promised to treat every applicant fairly.","exampleCn":"经理承诺公平对待每一位申请人。","entryStatus":"second-semantic-review-20260714"}
fascinate	repair	KEEP_REPAIR	{"example":"The documentary fascinated viewers with its rare wildlife footage.","exampleCn":"这部纪录片以罕见的野生动物画面吸引了观众。","entryStatus":"second-semantic-review-20260714"}
feather	repair	KEEP_REPAIR	{"example":"The bird used soft feathers to line its nest.","exampleCn":"这只鸟用柔软的羽毛铺垫鸟巢。","entryStatus":"second-semantic-review-20260714"}
flare	repair	KEEP_REPAIR	{"example":"The conflict may flare up again without an agreement.","exampleCn":"如果没有达成协议，冲突可能再次突然加剧。","entryStatus":"second-semantic-review-20260714","pos":"noun/verb","meaning":"闪光；照明弹；突然燃烧；突然加剧","definition":"a sudden bright flame or burst; to burn suddenly or become more intense"}
forward	repair	KEEP_REPAIR	{"example":"Please move forward when the next counter becomes available.","exampleCn":"下一个柜台空出时请向前移动。","entryStatus":"second-semantic-review-20260714"}
fuel	repair	KEEP_REPAIR	{"example":"Cheap credit can fuel excessive consumer spending.","exampleCn":"低成本信贷可能会助长过度消费。","entryStatus":"second-semantic-review-20260714","pos":"noun/verb","meaning":"燃料；加油；加剧；推动","definition":"material used to produce energy; to supply fuel or intensify a process"}
furthermore	repair	KEEP_REPAIR	{"example":"Furthermore, the total cost includes all delivery charges.","exampleCn":"此外，总费用包括所有配送费。","entryStatus":"second-semantic-review-20260714"}
