word	action	reasonCode	set
nest	repair	KEEP_REPAIR	{"example":"The birds built a nest under the roof.","exampleCn":"这些鸟在屋顶下筑了一个巢。","entryStatus":"second-semantic-review-20260714"}
obey	repair	KEEP_REPAIR	{"example":"All visitors must obey the safety instructions.","exampleCn":"所有访客都必须遵守安全说明。","entryStatus":"second-semantic-review-20260714"}
oct	repair	KEEP_REPAIR	{"example":"The deadline for applications is 15 Oct.","exampleCn":"申请截止日期是10月15日。","entryStatus":"second-semantic-review-20260714","pos":"abbreviation","meaning":"十月（October的缩写）","definition":"abbreviation for October","difficulty":"低频认识即可","studyMode":"reference","gtPlanStage":4,"category":"IELTS G类 · 日期缩写参考"}
outright	repair	KEEP_REPAIR	{"example":"The committee rejected the proposal outright.","exampleCn":"委员会彻底否决了这项提议。","entryStatus":"second-semantic-review-20260714"}
overlap	repair	KEEP_REPAIR	{"example":"The two training sessions overlap by thirty minutes.","exampleCn":"两场培训课程有三十分钟重叠。","entryStatus":"second-semantic-review-20260714"}
own	repair	KEEP_REPAIR	{"example":"I own a small apartment near the station.","exampleCn":"我在车站附近拥有一套小公寓。","entryStatus":"second-semantic-review-20260714"}
page	repair	KEEP_REPAIR	{"example":"Please turn to page ten of the handbook.","exampleCn":"请翻到手册第十页。","entryStatus":"second-semantic-review-20260714"}
paw	repair	KEEP_REPAIR	{"example":"The injured dog could not put weight on its paw.","exampleCn":"受伤的狗无法用那只爪子承重。","entryStatus":"second-semantic-review-20260714"}
pen	repair	KEEP_REPAIR	{"example":"Please sign the application form with a black pen.","exampleCn":"请用黑色钢笔在申请表上签字。","entryStatus":"second-semantic-review-20260714"}
perceived	repair	KEEP_REPAIR	{"example":"The perceived risk was greater than the actual danger.","exampleCn":"人们感知到的风险大于实际危险。","entryStatus":"second-semantic-review-20260714","pos":"adjective","meaning":"感知到的；被认为的","definition":"noticed, understood, or regarded in a particular way"}
personally	repair	KEEP_REPAIR	{"example":"Personally, I prefer the earlier appointment time.","exampleCn":"就我个人而言，我更喜欢较早的预约时间。","entryStatus":"second-semantic-review-20260714"}
policewoman	repair	KEEP_REPAIR	{"example":"The policewoman helped the lost child find his parents.","exampleCn":"这位女警察帮助迷路的孩子找到了父母。","entryStatus":"second-semantic-review-20260714"}
practice	repair	KEEP_REPAIR	{"example":"Regular practice will improve your speaking confidence.","exampleCn":"经常练习会提高你的口语自信。","entryStatus":"second-semantic-review-20260714","pos":"noun/verb","meaning":"练习；实践；惯例","definition":"repeated exercise, practical application, or a customary way of doing something"}
precede	repair	KEEP_REPAIR	{"example":"A short safety briefing will precede the tour.","exampleCn":"参观前会先进行简短的安全说明。","entryStatus":"second-semantic-review-20260714"}
publicly	repair	KEEP_REPAIR	{"example":"The company publicly apologized for the service failure.","exampleCn":"该公司公开为服务故障道歉。","entryStatus":"second-semantic-review-20260714"}
puzzle	repair	KEEP_REPAIR	{"example":"The sudden change in the timetable puzzled many passengers.","exampleCn":"时间表的突然变化使许多乘客感到困惑。","entryStatus":"second-semantic-review-20260714"}
