word	meaning	definition	example	exampleCn	gtPlanStage	phraseStudyMode	difficulty	category	acceptedAnswers	topics	spellingPriority
barnacle goose	白颊黑雁	a goose with a black neck and white face	Barnacle geese migrate over long distances.	白颊黑雁会进行长距离迁徙。	4	reference	低频认识即可	IELTS G类 · 真题专业参考	["barnacle goose"]	["G类完整学习计划","G类完整学习计划·阶段4","真题专业词","动物"]	False
duffel bag	圆筒旅行袋；行李袋	a large cylindrical bag made of strong fabric	The equipment fits into a single duffel bag.	这些设备可以装进一个圆筒旅行袋。	4	reference	低频认识即可	IELTS G类 · 真题专业参考	["duffel bag"]	["G类完整学习计划","G类完整学习计划·阶段4","真题专业词","旅行"]	False
cash crop	经济作物	a crop grown mainly to be sold rather than eaten by the grower	Cabbage has become an important cash crop for local farmers.	卷心菜已成为当地农民的重要经济作物。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["cash crop"]	["G类完整学习计划","G类完整学习计划·阶段3","农业","Section 3"]	False
oxygen starvation	缺氧；氧气耗尽	a severe lack of oxygen	Excess nutrients can cause oxygen starvation in the water.	过量营养物质可能导致水体缺氧。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["oxygen starvation"]	["G类完整学习计划","G类完整学习计划·阶段3","环境","Section 3"]	False
dead zone	死亡区；缺氧无生物区	an area of water where oxygen levels are too low to support most life	The number of marine dead zones is increasing.	海洋死亡区的数量正在增加。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["dead zone"]	["G类完整学习计划","G类完整学习计划·阶段3","海洋","Section 3"]	False
running water	自来水；流动水	water supplied through pipes to a building	Some remote homes do not have running water.	一些偏远住宅没有自来水。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["running water"]	["G类完整学习计划","G类完整学习计划·阶段3","住房","公共服务"]	False
power station	发电站	a building where electricity is produced	The power station supplies heating to the town.	发电站为小镇提供供暖。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["power station"]	["G类完整学习计划","G类完整学习计划·阶段3","能源","公共服务"]	False
hot spring	温泉	a natural source of hot water from the ground	The travellers stopped beside a hot spring.	旅行者在一处温泉旁停下。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["hot spring"]	["G类完整学习计划","G类完整学习计划·阶段3","旅行","地理"]	False
tree bark	树皮	the protective outer layer of a tree trunk or branch	The sap escaped through tears in the tree bark.	树液从树皮裂口流出。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["tree bark"]	["G类完整学习计划","G类完整学习计划·阶段3","植物","熟词生义"]	False
fish stock	鱼类种群；鱼类资源量	the population of a fish species in a particular area	Several fish stocks have declined.	多个鱼类种群已经下降。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["fish stock"]	["G类完整学习计划","G类完整学习计划·阶段3","海洋","熟词生义"]	False
host animal	宿主动物	an animal in or on which another organism lives	The parasite changes its coat inside the host animal.	寄生虫在宿主动物体内改变外层结构。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["host animal"]	["G类完整学习计划","G类完整学习计划·阶段3","生物","熟词生义"]	False
plant-infecting virus	植物感染性病毒	a virus that infects plants	Aphids can carry plant-infecting viruses.	蚜虫可以传播植物感染性病毒。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["plant-infecting virus","plant infecting virus"]	["G类完整学习计划","G类完整学习计划·阶段3","农业","Section 3"]	False
smallholder farmer	小农户；小规模农场主	a farmer who owns or manages a small farm	Researchers worked with smallholder farmers on pest control.	研究人员与小农户合作研究害虫防治。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["smallholder farmer"]	["G类完整学习计划","G类完整学习计划·阶段3","农业","Section 3"]	False
field station	野外研究站；实地工作站	a research base located near the area being studied	The scientist worked from a field station in Ghana.	这位科学家在加纳的一处野外研究站工作。	3	context-expression	中级核心	IELTS G类 · 阅读表达	["field station"]	["G类完整学习计划","G类完整学习计划·阶段3","研究","Section 3"]	False
