word	action	reasonCode	set
mcintyre	delete	DELETE_PROPER_OR_SOURCE	
mckay	delete	DELETE_PROPER_OR_SOURCE	
mckechnie	delete	DELETE_PROPER_OR_SOURCE	
mehrabian	delete	DELETE_PROPER_OR_SOURCE	
mendelssohn	delete	DELETE_PROPER_OR_SOURCE	
merriam	delete	DELETE_PROPER_OR_SOURCE	
michiels	delete	DELETE_PROPER_OR_SOURCE	
microsoft	delete	DELETE_BRAND	
mimi	delete	DELETE_PROPER_OR_SOURCE	
monteiro	delete	DELETE_PROPER_OR_SOURCE	
multi	delete	DELETE_BOUND_MORPHEME	
murry	delete	DELETE_PROPER_OR_SOURCE	
naarding	delete	DELETE_PROPER_OR_SOURCE	
nadolny	delete	DELETE_PROPER_OR_SOURCE	
ninety-one	delete	DELETE_COMPOSITIONAL_NUMBER	
ninety-two	delete	DELETE_COMPOSITIONAL_NUMBER	
nystuen	delete	DELETE_PROPER_OR_SOURCE	
oberlin	delete	DELETE_PROPER_OR_SOURCE	
olsen	delete	DELETE_PROPER_OR_SOURCE	
piggly	delete	DELETE_PROPER_OR_SOURCE	
plumridge	delete	DELETE_PROPER_OR_SOURCE	
qrio	delete	DELETE_PROPER_OR_SOURCE	
rawlinson	delete	DELETE_PROPER_OR_SOURCE	
robinson	delete	DELETE_PROPER_OR_SOURCE	
rodwell	delete	DELETE_PROPER_OR_SOURCE	
ruamahanga	delete	DELETE_PROPER_OR_SOURCE	
rugg	delete	DELETE_NOISE	
scholes	delete	DELETE_PROPER_OR_SOURCE	
seventy-four	delete	DELETE_COMPOSITIONAL_NUMBER	
shanley	delete	DELETE_PROPER_OR_SOURCE	
shelton	delete	DELETE_PROPER_OR_SOURCE	
sixty-eight	delete	DELETE_COMPOSITIONAL_NUMBER	
ss	delete	DELETE_AMBIGUOUS_ABBREVIATION	
tanksley	delete	DELETE_PROPER_OR_SOURCE	
tele-education	delete	DELETE_NONSTANDARD_LOW_UTILITY	
tilburg	delete	DELETE_PROPER_OR_SOURCE	
tobin	delete	DELETE_PROPER_OR_SOURCE	
trueb	delete	DELETE_NOISE	
twenty-eighth	delete	DELETE_COMPOSITIONAL_NUMBER	
utzon	delete	DELETE_PROPER_OR_SOURCE	
valenza	delete	DELETE_PROPER_OR_SOURCE	
walcott	delete	DELETE_PROPER_OR_SOURCE	
walsh	delete	DELETE_PROPER_OR_SOURCE	
wars	delete	DELETE_INFLECTED_DUPLICATE	
worzel	delete	DELETE_PROPER_OR_SOURCE	
wray	delete	DELETE_PROPER_OR_SOURCE	
wroe	delete	DELETE_PROPER_OR_SOURCE	
yamanoko	delete	DELETE_PROPER_OR_SOURCE	
yamashita	delete	DELETE_PROPER_OR_SOURCE	
yeshurun	delete	DELETE_PROPER_OR_SOURCE	
yuzo	delete	DELETE_PROPER_OR_SOURCE	
zandbergen	delete	DELETE_PROPER_OR_SOURCE	
zatorre	delete	DELETE_PROPER_OR_SOURCE	
zubrin	delete	DELETE_PROPER_OR_SOURCE	
