word	pos	meaning	definition	example	exampleCn	gtPlanStage	difficulty	category	studyMode	topics	collocations
sedge	noun	莎草；莎草类植物	a grass-like plant that grows in wet ground	Sedges grow around the edge of the wetland.	莎草生长在湿地边缘。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","植物","湿地"]	[]
melanosome	noun	黑素体	a structure in a cell that contains the pigment melanin	Fossil melanosomes can provide evidence of colour.	化石中的黑素体可以提供颜色方面的证据。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","生物","化石"]	[]
sawmill	noun	锯木厂	a factory where logs are cut into timber	The logs were transported to a nearby sawmill.	原木被运到附近的锯木厂。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","工业","林业"]	[]
sieve	noun/verb	筛子；筛网；筛选	a tool with a mesh used to separate smaller particles	The material was passed through a fine sieve.	这些材料通过细筛进行筛分。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","工具","科学"]	[]
arribada	noun	海龟集体上岸产卵现象	a mass nesting event in which many sea turtles come ashore together	Thousands of turtles may arrive during an arribada.	在海龟集体上岸产卵期间，可能有数千只海龟抵达岸边。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","动物","海洋"]	[]
bovine	adjective/noun	牛的；牛科动物	relating to cattle	The new breed was more vulnerable to bovine tuberculosis.	新品种更容易感染牛结核病。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","农业","健康"]	[]
zebu	noun	瘤牛	a type of domestic cattle with a hump over the shoulders	Zebu cattle were previously reared in the region.	该地区过去饲养瘤牛。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","农业","动物"]	[]
eutrophication	noun	富营养化	excessive nutrient enrichment of water, often causing oxygen loss	Pollution can fuel eutrophication in coastal waters.	污染可能加剧沿海水域的富营养化。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","环境","海洋"]	[]
phytoplankton	noun	浮游植物	microscopic plants that drift in water	Nutrients promote the growth of phytoplankton.	营养物质会促进浮游植物生长。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","海洋","生物"]	[]
trypanosomiasis	noun	锥虫病	a disease caused by trypanosome parasites	Researchers studied trypanosomiasis in cattle.	研究人员研究了牛的锥虫病。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","健康","农业"]	[]
tsetse	noun/adjective	采采蝇；采采蝇的	an African fly that can transmit trypanosomiasis	The parasite is carried by the tsetse fly.	这种寄生虫由采采蝇传播。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","昆虫","健康"]	[]
linoleum	noun	油毡；亚麻油地毡	a hard floor covering made in sheets	Kauri gum was once used in the production of linoleum.	贝壳杉树胶曾用于生产油毡。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","材料","历史"]	[]
sandpaper	noun/verb	砂纸；用砂纸打磨	paper covered with an abrasive material for smoothing surfaces	The fossil gum can be polished with fine sandpaper.	化石树胶可以用细砂纸抛光。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","材料","工具"]	[]
cloudberry	noun	云莓	a yellow-orange berry that grows in cold northern regions	Cloudberry cordial was served with the meal.	餐食配有云莓果汁饮料。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","植物","饮食"]	[]
epidemiologist	noun	流行病学家	a scientist who studies the spread and control of disease	Epidemiologists helped evaluate the disease-control strategy.	流行病学家帮助评估疾病控制策略。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","健康","研究"]	[]
immunologist	noun	免疫学家	a scientist who studies the immune system	Immunologists examined how cattle responded to vaccination.	免疫学家研究了牛对疫苗接种的反应。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","健康","研究"]	[]
swathe	noun	一大片；长而宽的一片	a broad strip or large area of land	The insect colonises vast swathes of the region.	这种昆虫分布在该地区的大片区域。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","地理","环境"]	[]
sub-Saharan	adjective	撒哈拉以南的	relating to the part of Africa south of the Sahara	The parasite occurs across sub-Saharan Africa.	这种寄生虫分布在撒哈拉以南非洲。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","地理","环境"]	[]
nematode	noun	线虫	a small roundworm, many species of which live in soil or organisms	Nematodes play an important role in some ecosystems.	线虫在一些生态系统中发挥重要作用。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","生物","环境"]	[]
