id	word	action	setJson	addFormsJson	addMeaningsJson	addQuizSensesJson	reason	evidence	expectedMeaningHash	expectedExampleHash
word_db49e171b506	require	keep					KEEP_FORM_VARIANT	合法词形命中：require, requires	85fec10f9a3f8238e8da1c7b337db8f8f2f8364cd8381ec5d0344cb4eeaff2ca	5d56ccf1362eb2c6a724fa486322e383496a696feb4dce19a6f64c9e546bfd2d
word_82e44b8676fd	contain	keep					KEEP_FORM_VARIANT	合法词形命中：contain, contains	5e5a56c51e480855ad3addf79d29d5f6a5a97ba8ec6cf210c732683e478eb929	8f303b925fcbb266525b18836889830779ef64dee8cc4276d65030779f26c9f2
word_fa9ad89c052a	cigarette	keep					KEEP_FORM_VARIANT	合法词形命中：cigarette, cigarettes	15b171b220292425e971f41dcd25aa2ee2658c6c359f29e9508c48434cf46807	96748e86b7d4344336f3c7238e8f5a117ae43e3216ede9909d9c8dc6455048e8
word_f8a05fcb21d5	criticise	keep					KEEP_FORM_VARIANT	合法词形命中：criticise, criticised	9d6fa7bef8414da1db4a90b163dbe7d11ac02d12f4afe8745c2bd7023a340438	bc945c7465f3a0c980a172849c27c4e3d40d5d619b048c9e8813ee62f0fa5c9a
word_c94d1d6f66d9	refugee	keep					KEEP_FORM_VARIANT	合法词形命中：refugee, refugees	0c29c08c7cd2dd703853f02af944e188fc075df29d7ff6563a074add2f5c7a02	a7058ac5d7eb5edf0bc94f108264b75b55bd66dd6123231707986dfe7d3962aa
word_9e420deff54b	exclaim	keep					KEEP_FORM_VARIANT	合法词形命中：exclaim, exclaimed	5c274723ae0534334f156eb3b172ec6e87e65ef91fef03e831bca901f8d9c449	c7572fd2676a15dd05e81b273f8bdc47ae3eb96575c9639d4828519eb9f71b6d
word_4f3b9143c6e0	sponsor	keep					KEEP_FORM_VARIANT	合法词形命中：sponsor, sponsored	1b8eac43b13524ddbb8fcbe81caf0d3ab659b5fd7b2da6da55917ecad8fd1c51	0a3f584b68aed543249a87f6501476309078259b9178afee5560d0712bef1bb0
word_d6fb2d45c42c	vegetable	keep					KEEP_FORM_VARIANT	合法词形命中：vegetable, vegetables	7e29562c10e9afe01109a86d2ab64a20e316092231efb80d9ffb7b436c28588c	07bb0f35cb0308a3b40a8893d769f8cd7087ca31636087e22d40fb1a36b8ef16
word_8181e20bc5bf	human	keep					KEEP_FORM_VARIANT	合法词形命中：human, humans	930ea9c5301b87130e6f535e6d5e97705d763c822b529bf3815603a22f0de78b	8811e8cfab603eb0206a9f71d15c75aa4d669d07b891d4d1414463d264153ea8
word_57a143379b45	saturday	keep					KEEP_FORM_VARIANT	合法词形命中：saturday, saturdays	f074d92d1a08682036a324e150b78ccd1148ae960d58417407fc6226033d25ee	67bca0b500d5d23fc87539cac1a0e622109f8852e196ca711784d1d90cb5e8a5
word_48e936624d99	adopt	keep					KEEP_FORM_VARIANT	合法词形命中：adopt, adopted	506df8bd8f5fff3edf23fbb1a7b11dcf2a50971442a149070f2678fe65ff96d3	45b1d06ec0e1b29d962fd27cdb5fdc65a12faabb69f33507023312246886a803
word_448f19636951	commuter	keep					KEEP_FORM_VARIANT	合法词形命中：commuter, commuters	00806f8f22cb21112a890c85db9fbb2d02bc91a4516bd6c756f8e9329fbf8385	b36a3b12ce4051c422a437b69350a6b30edf077dca0a8fb05690e4275dd3b7ef
word_0fb791c8033d	crop	keep					KEEP_FORM_VARIANT	合法词形命中：crop, crops	5d49d491ce50755e48d4c9374a9086b9438c333df0068222f3347f6bceb2a436	2d358de81a6ccb919abc6c79715cb31a24ae77e6da825ef7c29181271b7ff76a
word_257073db684e	habitat	keep					KEEP_FORM_VARIANT	合法词形命中：habitat, habitats	b33b71f4447de053b1c8721e605bfb38275c760d1253c054c65964ff8ab3543f	231d701118ea167d8d82bbcd0c1958015a463354aa8082df60d84397f6bab256
word_b5fe936c6380	weekend	keep					KEEP_FORM_VARIANT	合法词形命中：weekend, weekends	82b8ed67dd34a73cf78b5c923c053d1399718dc975aebbec3e172bd924668e04	18572eb93ae6fa4e5cf0c7aeca41a2f838c86adb7e495f4e65a88db8f52b7b7d
word_71147e20d696	admit	keep					KEEP_FORM_VARIANT	合法词形命中：admit, admitted	f38500302d1e35af6279f373c71cbbce6aaf87ceffefae901cbb8e8a1ae1fd74	413626b5fb991b7a1e83601e321872afa3d586ffacbdc5ae593b3866ee60c44f
word_c9f9e86d9398	recover	keep					KEEP_FORM_VARIANT	合法词形命中：recover, recovering	30a40bccac6e772b5dcab3feb6998fc71f6f65da24ce3e789ca7e586f32bc8ad	45b2ecdfadd1fdb9e8226d295daedd4213e5987fb9e7669fa037c39827ed6fda
word_757610e6a5b0	possess	keep					KEEP_FORM_VARIANT	合法词形命中：possess, possesses	7f27550e965d95dac59fd335855fd534a179a45fec7f39ec2659e14eecf6aa04	3030373ff654b6adcfc502e03498b0483660b75d1a843895312b45341ce9c75a
word_232744c60e0d	pancake	keep					KEEP_FORM_VARIANT	合法词形命中：pancake, pancakes	7f5af73e9b4ea1414b0eb538f2dcffca46a6fbb28b4225f24eb98739a583e74f	596b7a23cdd9a75f8e4b30f583e659f3499553ab36b5c907663f0a0a39314da4
word_c9aa7503e2ce	trouser	keep					KEEP_FORM_VARIANT	合法词形命中：trouser, trousers	09a1b8fbe5318ca8718344ba63c18b52d818780a0ebc2ef0b984a51968adda92	6a8c94f08f2e5d31e62e6b98f14e55fd0c43d9f601d549b8c28490de7a05d560
word_c538db80a4d2	thousand	keep					KEEP_FORM_VARIANT	合法词形命中：thousand, thousands	006aef894e3bc61623760ca1ff6c9c616213af94b5babe9f227ff73aee773fe0	e36faffe2c9fe7baa76e728e4a5d55317926ba73ec14887f39cffc497d28c228
word_cdc375281b3b	demonstrate	keep					KEEP_FORM_VARIANT	合法词形命中：demonstrate, demonstrates	caf716a6124aeb013b80c76f32dd0af78c1011f28a19ca3b176eb10acdd2fa0a	9c831e566d64aae1d03239d6c4ef6f974a6c24153e70ec1eae3951a90c8d20a3
word_a3e275aa6cf6	provide	keep					KEEP_FORM_VARIANT	合法词形命中：provide, provides	835521d69177da1d81269f38c6fa4ccdf81fb3bafe864c4d8985b7f0887c15b1	eed6658aa51797e03ba34073a6a1c030f0a4cc2433f39ead7f60b15022bda298
word_0bd6f947af7b	kiss	keep					KEEP_FORM_VARIANT	合法词形命中：kiss, kissed	3572aa4100c11cfc97e1128e15bc1c0be714f99f4e27ba83c5fbb8cd3db790c7	daca5adba6feb5f2381492b2d629d57296342e6eb8d2ee75270528666e39ecc6
word_ee4f23d179ad	transform	keep					KEEP_FORM_VARIANT	合法词形命中：transform, transformed	6738a75d04852290f557a4ac84aae91a44a426a7e58a9ef912efb8799d50fb21	18f6f4f5b9b0729e4c01b0ed7c7d4813711aaa11aff6997ee2f93765b1267f07
word_7bfc1df8003a	abandon	keep					KEEP_FORM_VARIANT	合法词形命中：abandon, abandoned	4a3c5b4858fa085790900fc59dbd2402e2e9be33a970bae8770975e7147367ae	d4627fe13e1c23f593324c5ea81231c60949b6e5c91a03e20aed933d0f0fcf1b
word_08ef8582f2a5	result	keep					KEEP_FORM_VARIANT	合法词形命中：result, results	dc591b7d3e3f4632151eb2280a0443290c250ac34ad9d21bd23a24a7558df674	203e11d3d174f53601ee422f92d61335d948b26efbd8052637247b28e7db29d2
word_b1e8e4fe4daa	film	keep					KEEP_FORM_VARIANT	合法词形命中：film, films	f7e2fef65b58dcb01004f463aa16736020b55bbcc624d29b9bff18f651c90b3c	79d683a231974f663e0e68a645aa95d673809c01bd3960c98887b3de405369d2
word_33cc7cd2ed83	epitomise	keep					KEEP_FORM_VARIANT	合法词形命中：epitomise, epitomises	59b2c4d62486399d7ab01d3a8372fc862f0bec1dc6430d1ceaacdc69c6ca5561	e4d557a8ebcb06a4ba8d7bdee5118f8183c94249eba06ddf8fb5e1ec31088f9c
word_20188b2a5753	earn	keep					KEEP_FORM_VARIANT	合法词形命中：earn, earns	ef55f133309a61eb245ae7e22b3e6097e665cfa2731782e69982f6c025ba4494	76849f376734d44edf0287c4546ed5e37406af4effca9a37fb0532323293f013
word_633a5a21f951	clothe	keep					KEEP_FORM_VARIANT	合法词形命中：clothe, clothes	36df754360248fb269a9fff0a2ac11bbd9c7a3882209a872f6874dc3dab59186	15d4d816cd45aca89149349516df2e5ebb115efeff367952fd0989bf7d7d840d
word_f7b95dbd9d70	promote	keep					KEEP_FORM_VARIANT	合法词形命中：promote, promotes	79fffce5e880f5434fcfacf7c8aa951cae42d94210e30ba32c5d313d57d9239e	66d75631fc5f077232eeb7737d9ea9459bea00a9ce5ee7a5e934be2a61551a52
word_c8000d25be4f	manage	keep					KEEP_FORM_VARIANT	合法词形命中：manage, manages	1b779345092313cb94a2c776afefb954428f6f664c04802b961dae9c9f8cb61c	c01bda97eb51cccfa65be2dc75e224051caa36238f61d23cb5f9dce16ece0440
word_66f6a0a0ea57	chick	keep					KEEP_FORM_VARIANT	合法词形命中：chick, chicks	fda98651ec653e54dc72fc6014f741f2956127bca7893fc64d1696fe7f322365	f86155748fbe109e9a4b7d7b48ea1738ff4584bf69fc07095b9d9204d914ce64
word_89c0fa18f052	threaten	keep					KEEP_FORM_VARIANT	合法词形命中：threaten, threatens	b6760bcb831fb12bd12b987dffbf0e944997f9a27d3ae878e0130436ee2698f4	84c6992c5e22b56e4d56abb8babd44d810d0f6899c4a01f663c6244502c0e563
word_cad5293fc6e8	receive	keep					KEEP_FORM_VARIANT	合法词形命中：receive, received	aaca39dd43c266f9509ce6fe2f592a20d52d545ef407f9306c1f5c78962d7227	c31b7420ef75f182c5d0219dd372c8baec171ffd87b5b4767e73bd992587ea4d
word_2f19743025b5	cause	keep					KEEP_FORM_VARIANT	合法词形命中：cause, caused	1642a22508799d8d0d32080c7ecf42f6ac62fa7b2f07d9ac7bb64f195e87b3bc	4016e47b2ad72ffbefdb4bcb89d36a49a5abe719a62775606b69152c3de829a3
word_ff54a4b18b7b	refill	keep					KEEP_FORM_VARIANT	合法词形命中：refill, refills	611201634f4c581af45481c254fa39b77ffe3d36375c342ce979621bde0dab2f	b0673ac0ad2d762612844b4310fe7cc0d46492bffa373519c84aa44c767e1672
word_176262775492	render	keep					KEEP_FORM_VARIANT	合法词形命中：render, renders	f47bf94bab46a2fc922fe38e28286c1c864920072685ba27bbfe9766ddc7dff7	e61adbebab9eb51ceccd0c39252e525af4f69e1e58fc35b0f960d8f7cb3e8802
word_599a243d9f36	flower	keep					KEEP_FORM_VARIANT	合法词形命中：flower, flowers	b4344026c006c41085f291f968895923d4e7b914144dbbcb9d52c27ba282f325	55444b99b3d4acd1f10677a75409d494030a8f2a28942604f24691c11e92d392
word_770990f2e15f	curtain	keep					KEEP_FORM_VARIANT	合法词形命中：curtain, curtains	d43b81038b889bad46193ed60d6ecfc203b1de8b90f7794369dcf7e21f5d5ac1	bcf9f58094b4361afebdc423fcadfc45a309c27d5ab0a64515bd29cc0aeb27e4
word_de1dc48d4170	regulate	keep					KEEP_FORM_VARIANT	合法词形命中：regulate, regulates	ac813c7fabe30c145dfea93d317a99bde2e785ec7ed6f3f45d68e4afe2747a38	bc0628e941480029e20247fb51afb3d9b08556355be38158ba618d3af4bed876
word_613d7e2a2669	employee	keep					KEEP_FORM_VARIANT	合法词形命中：employee, employees	fc7bd68323d5cdada2fe266876b49ad0db118b38592a52198d50001a576d60b8	3fa5bb71b7741cec9411f49c1e6f3d388fb0c38fb5805bb51985ac883455a9e1
word_69cdaa23a704	surround	keep					KEEP_FORM_VARIANT	合法词形命中：surround, surrounded	491553aa2fe1d9521ea465c574a692594df52a3bac0f718f932a903f009d890a	7926922dc12959151ea629ddca0d0b7c4353466727a383790eb8872d1e6a5107
word_4e611584cc48	remark	keep					KEEP_FORM_VARIANT	合法词形命中：remark, remarked	94033c8fbdda9f59c6f286d510e2f10394a165eb4deb7771f63cf869434a6195	ab9ef87c56d917be83ba7097f8189e337b7e4d29e8b6d38c9e9c224ace3024a8
word_63cb1205e171	box	keep					REPAIR_EXAMPLE_IN_P0	已由batch-p0.tsv人工修复	d46f61318084222005009dc000269231d63d91ac3669692ca301cf9d2806cdaf	c00d08fdced2fedd337e721d7f36c7b91453bf68443d58a7441bcd940ebacc61
word_ca5c9709eaf2	shine	keep					KEEP_FORM_VARIANT	合法词形命中：shine, shines	11eaffdbde1af0cfbab798ea1f688bd2250c08d1bf3bfea648e333b37f32966e	c2d91e397c99fe12a92605f6a308ad05f7a645b8c7b6b86feb4a85e455c15d7a
word_1187b16b9f0e	norm	keep					KEEP_FORM_VARIANT	合法词形命中：norm, norms	b3d6324bdc497c57fa69e28225375f29699a535feb8df8caf6ef99781bc3279d	24ffbb18048913c19a90c04e5ad3ba2ceea5567371687fc1d550a629841d9b20
word_cd0021cc9931	frustrate	keep					KEEP_FORM_VARIANT	合法词形命中：frustrate, frustrated	00d74ddec2545f6a50b9949be29d61accdcb9e91bda72944aa119ac2ea8cfb74	fa510f615076d103915a2242c591cba5bdbc6a0d2e68fafb3959c808777792f2
word_b81513f953e4	arrangement	keep					KEEP_FORM_VARIANT	合法词形命中：arrangement, arrange, arrangements	aef9eb475a4be86b5248a541d46835bd321fb757c8ec77f278f7b07ad4493e2a	08ff7a9a8692bc508799452d930038e988016db6efd250b1551c5b4606f96c1d
word_895371520a0f	leed	defer					MANUAL_RELATION_REVIEW	词形归一化后仍未命中；本轮不自动重写	e8117a1d9977057787718ed44fba19b0df9ccafbb848f10babc0e076e0547c03	81117fff00c718936b66d23ede402b576be62cf7df6a3b717016679829ce2ec8
word_e8bd3ac56619	culture	keep					KEEP_FORM_VARIANT	合法词形命中：culture, cultures	731c4370bc6b65ee0bf49f94b443f1d0afceefef62076c8c3de057102199ffae	14d9c9bac4d50bb8931edb13d99925f59a7e1586822600956ab2d6c629349056
word_690f718eef12	question	keep					KEEP_FORM_VARIANT	合法词形命中：question, questions	d3a36c62bd97585e1b8343eb2de6a85643cbd7ba64025d4daf912b08f2946fd9	f9125753c750fdb3eb56b3440676b73cd78324006744175c2e7938d65bab9782
word_9bf7bce7d531	dish	keep					KEEP_FORM_VARIANT	合法词形命中：dish, dishes	763f0ab15d09e0a757d7226f5920a3e3839b805dd4ca4ff402001c31e50e8b51	d37cdf4751c5d6816b9c80ed80bb994a864abbd782ef90a04b2656737ff3bb2c
word_1f1e3e3876e1	strip	keep					KEEP_FORM_VARIANT	合法词形命中：strip, stripped	de6c495b235ffb9b69f9841eeb1770fb3dbda88fa3da97fa77bd317a87abecbf	2cc24f8de0d5945407c4e069983d5c17332a7b3f0170fe72fe57585f6c79f925
word_f8d7920c84a2	postpone	keep					KEEP_FORM_VARIANT	合法词形命中：postpone, postponed	fc9403c4ee275cc67baffc9335e7e7342eac239b8f90e990a4b14f9f0d341fb7	14069a4750a552e337a0e70ee52035ade049535c11b243d98ccb7b2b9ba6a7a0
word_12f010f69915	pedestrian	keep					KEEP_FORM_VARIANT	合法词形命中：pedestrian, pedestrians	e81facd2686266ff85217ec4a35e080c4e1d4515ec0cf56ada8bc651fabddf42	833bcb3db160ada6d3e9939b7dd1c78b618c7a07a148b1a802983a433e5c8ac8
word_eb799ac33250	enemy	keep					KEEP_FORM_VARIANT	合法词形命中：enemies	bb9d1f2e8e8c2fdd07c148b4a786c3ac9c3b2145521c2d6efdee7c36c2f6f2eb	adc11a3d0535e51eb9056dd9529e71e174030cce90fdc676bd34bb100f74d2dd
word_f8bf7d6a28f3	attract	keep					KEEP_FORM_VARIANT	合法词形命中：attract, attracted	32dd563962cf0794ebc0a3a07dde2635ff7692bba742f565db069118bb9eb866	f175e0d4caa2cdf68070bbc3c5aa577ef1feaabff522c1855f20bd7fa20263da
word_db1a5ab36951	cloud	keep					KEEP_FORM_VARIANT	合法词形命中：cloud, clouds	9a9ebe164e969fd213cda40347f7bd16c94dfbba3224dcd10ee1319627abf117	562d710171c7eaa0c7b973aca1c5f240100bba93e54828a44e16bc68eb3122ff
word_824c0c8ba5e7	destroy	keep					KEEP_FORM_VARIANT	合法词形命中：destroy, destroyed	5d635773d9cd08ae24eb7c81efe516c2784a3f25521d0ad3137272a7730a713d	ec952cf4b08739b448b72b5118d63c8f71d79f22d39c0f45acb0e308730f7ef8
word_bd34b64ef84a	overcome	defer					MANUAL_RELATION_REVIEW	词形归一化后仍未命中；本轮不自动重写	c39d51709b56f13180c8df3f4978c6d5ba6261fa8f7f79a174be1521dec6908f	5c276dc77dc4710d17c96e825c44ea62a197ecfc1de5e91dc75c163d20ea65cf
word_36b67c06b372	interest	keep					KEEP_FORM_VARIANT	合法词形命中：interest, interested	8b37d3fbb9f781eaabf885448d390b1557b6730ea455c5d2ca71d1436094cc32	4fa405c8a328a2129ab6b51084c92943ac73ea935a202c72fac4eb5dcbae86b3
word_a3109aa1210a	retain	keep					KEEP_FORM_VARIANT	合法词形命中：retain, retains	cd051271f1cedf7a993989d52ea18e19648403e1a7766c7675ec0d868d1ec20f	00c88c87d74c4f2df290db6ea718e9f78af8fe47360304892c58c64bfecff49c
word_15cf6f51c35b	obtain	keep					KEEP_FORM_VARIANT	合法词形命中：obtain, obtained	ad9cb83405c6a1a241c383b4fde995dbcbabe34257bdbeac7ffc7b52c3d5f977	91feb232aa8daaeebce8ba5d46af24ab2eae83ecd8b5185e9a45966a98413942
word_c7085135e41a	consist	keep					KEEP_FORM_VARIANT	合法词形命中：consist, consists	5aa253cc51256142d2d2a6287e441a10cd0ca9ea3a3b4d2c5bf8b13de322c156	52f55ddf9129d80cc7867239226da18b5ad62d6850d69d423fcf64f80c251940
word_da091410bbb5	dismiss	keep					KEEP_FORM_VARIANT	合法词形命中：dismiss, dismissed	631863c20902dc17ff17a5b000a6ec5be1ea23e9faa9b8c85a12d196d6847ce1	10b32c71dcae445db4866b27efda4a4a0107d901f84a6b8d1b4133cdbc19e008
word_dada10a3c860	expectation	keep					KEEP_FORM_VARIANT	合法词形命中：expectation, expect, expectations	ef6e64e4bcc7fc4e780ed7c8f69a61bec9e0ffa5b3e03e5b789b0145ac027baf	d4d6f7b14f9176d6418707df5131d032755be9a8acc4c3a19ebbfb8572708089
word_f40d0d4d2e1a	tiger	keep					KEEP_FORM_VARIANT	合法词形命中：tiger, tigers	0f34739c2f0c1133626b86a0ff1614c23bf2d97da63005d8d2c14a7649e3065f	ba156b80f51ba87405cf0160a0056a2c7da8a7aed7213fec7e0cc4e41b055f65
word_32f1daac825b	isle	keep					KEEP_FORM_VARIANT	合法词形命中：isle, isles	bb168fe4d9cef7d260e22133ff355705cecd4ccfc189517fe87af8fb6fda5846	3d0cd3008f6221dcf9ff6e6dddb1015e9ea54a40eac738f02d38780bd2749e98
word_40426572d49a	rob	keep					KEEP_FORM_VARIANT	合法词形命中：rob, robbed	60890d66a3210b9d5638b7cae1122ffdedf8365c25fe6efc50b81dc4719f0857	41f31596f5893a5ac96cf6f5baaf637747312838d0dc1d7a58fecc003fedc6cf
word_76eb9640dcb8	engage	keep					KEEP_FORM_VARIANT	合法词形命中：engage, engaged	97f2ea4ba2651dbda3e96abebeed8fb70bdf349baa2a81ac1b25cecbed8fdefa	37379535f99bab7751168362dd2af42fa6fa66b161be07723e7a6409d06793f7
word_e440bd2e105f	pig	keep					KEEP_FORM_VARIANT	合法词形命中：pig, pigs	f2c2218548dd566bc9dd85ad26f76faed3369e169d4b19592543a881730ae40d	d38f9d318802248d4c15dffec14462ee2f5b6ec4ddeb448835578f98b00ffdc7
word_c82c5f21a0d4	amuse	keep					KEEP_FORM_VARIANT	合法词形命中：amuse, amused	b0eee9f4fa7140fa34e70ab89d593bcef20b19d33e7ec1c2fedafcc7cb2b8b08	05b41fe587ef683dad81b5ecc372274216e757857d9b3bf5eb0423426f276c1e
word_e42ea9b8215a	involve	keep					KEEP_FORM_VARIANT	合法词形命中：involve, involves	3ef60e445c068ff594a1b893ce0d54079715507b7ca34d5b4f4db637b791edd9	15caab8c31128b392bbc3dd25aa3b820c90c9f22a121049f72e6ef7ccf4186e0
word_fc721529e7b1	cover	keep					KEEP_FORM_VARIANT	合法词形命中：cover, covers	44a53c4c9785f9ba7e19c6df111fe4427515e253e4504b363c3ceb24b644a080	dabab8da52f4fc386691baca6a1567dee85d3d5d1a93c0ed6b6adf5ecca74d36
word_78ba7dffeafe	charter	keep					KEEP_FORM_VARIANT	合法词形命中：charter, chart, chartered	41f705eb84704db7a843ee7f4e5a3839640dc8dae2a0cf6c7e15e89318aef714	008917ca4b729505b797ae1dcdf4a6cae151c7bc4af0c25418b75403a22806ed
word_6a9cc96f2920	delay	keep					KEEP_FORM_VARIANT	合法词形命中：delay, delayed	a7d277700131d87eda852f27c4800d102f400393be0dd13f2f79c92c584e1c98	1dfd70beb0168a0ea23cfe069a5534bef289509a8052d5794eb30f859cd26f2c
word_08948ebcec1f	grin	keep					KEEP_FORM_VARIANT	合法词形命中：grin, grinned	12ef1da91631fa95fcd2bbc55cfd64a93df21e631a42ad8ead8f4ff741577577	dd592e439366b27bb39d23a1b0cb47aff6be25881ba5b1e4c5a76fb44b39ce18
word_730f7ee4558f	kite	keep					KEEP_FORM_VARIANT	合法词形命中：kite, kites	63f787d08f466d2224ced511e2fcefa0c4893c9c0fbea5f3f7ba2bd21ce6c2bc	eaafbbb6a506020f4bb92aad63e6532a9dfb3fd4d2f6fb060af53cbf2ab9b903
word_be3822e85497	convert	keep					KEEP_FORM_VARIANT	合法词形命中：convert, converted	0f621ab2af5fa64ef724a6f2feb8deb6945b2710a113786b3e785d08d1d55885	cfa8f33c40660602320594cd8754c2f81a0ce45e66165373db34b7bbc85e10b8
word_5b01808a91aa	escape	keep					KEEP_FORM_VARIANT	合法词形命中：escape, escaped	726f0fb04164d7eb6ad46d0b31b3bc856f39e7602649c94b6f9dd73744ef7356	a25522d3aec2b939d914b0401cff02514385f27a359c622261742b5c58bd5e95
word_82006990de73	ruble	keep					KEEP_FORM_VARIANT	合法词形命中：ruble, rubles	c5c2ac8f8b4ca027418ec651fc16a770c5e23c97e33e6b8d3d6a67451c4dd4db	e3bd88f8c8ee584aad4237c0230457bd3a92066ee3eaf5f46955c1b725853f69
word_721722df31ad	situate	keep					KEEP_FORM_VARIANT	合法词形命中：situate, situated	cd00acd251fbf75648a6e858b4de7a8c2589130d47fddc6ff128ba73f2aa3aed	8aba71f8d7ba718356dbce85afa75a1b3057b90001018e43f5983b32c7dc637e
word_8917479362cc	leaf	keep					KEEP_FORM_VARIANT	合法词形命中：leaves	0dca5b41331194b08a42e770a91f8b995578c8150ddc16862e43708f16221577	6123e4951fa368f023f3f49f6921289d8cb6788bb9c286851dbabdba735fae72
word_d6a4452646ec	youngster	keep					KEEP_FORM_VARIANT	合法词形命中：youngster, youngsters	847056a4d4e242e87b0b5b70de9bc140d0638fafa2c7af1d014d6aec2f7fe8a9	50c0eea7dfe8e2c5bd357eb68406f438032fbcab6f4337df1f6f28e2c4790949
word_91ef189f9c25	ruin	keep					KEEP_FORM_VARIANT	合法词形命中：ruin, ruined	3558b50cad6f3a8c3bf4ab7b5c138fb4b465e44ad2d94ce146fd9afc7fe8d5d1	9d1fb09631df3316ffe94db7283265a74a477652f85b705f37320aa7c7f56e87
word_bf24c6305b06	alter	defer					MANUAL_RELATION_REVIEW	词形归一化后仍未命中；本轮不自动重写	08ffd933aa8b6560b8c66543d4e2e695092fb872f4ae2a85678da1934b1959c5	e4b097f660b415025faf1027509440bebea2e6f2bfd54c63ee7d305224479493
word_2ccabcbe135f	qualification	keep					KEEP_FORM_VARIANT	合法词形命中：qualification, qualifications	67892a77fbcb1d2fca8659949ef55dc1b6a2f90fa6aba2b0f6d99605816c705b	7ded6ea23873524e0882fccc50e57bacfc60e4a60d24c593cb1a7e3bce23fd50
